sampleid	Media	Substrate	SubType	Time	Replica	Stage		
#q2:types	categorical	categorical	categorical	numeric	categorical	categorical		
Beads_Agarose_0_C	Beads	Agarose	Pure	0	C	A_0h		
Beads_Alginate_0_C	Beads	Alginate	Pure	0	C	A_0h		
Beads_Agarose_0_B	Beads	Agarose	Pure	0	B	A_0h		
Beads_AgaroseAlginate_0_B	Beads	AgaroseAlginate	Mixture	0	B	A_0h		
Beads_Chitin_0_C	Beads	Chitin	Pure	0	C	A_0h		
Beads_Chitosan_0_B	Beads	Chitosan	Pure	0	B	A_0h		
Beads_Chitosan_0_C	Beads	Chitosan	Pure	0	C	A_0h		
Beads_Carrageenan_0_C	Beads	Carrageenan	Pure	0	C	A_0h		
Beads_AgaroseChitosan_0_C	Beads	AgaroseChitosan	Mixture	0	C	A_0h		
Beads_Alginate_0_B	Beads	Alginate	Pure	0	B	A_0h		
Beads_AgaroseCarrageenan_0_B	Beads	AgaroseCarrageenan	Mixture	0	B	A_0h		
Beads_AgaroseChitosan_0_B	Beads	AgaroseChitosan	Mixture	0	B	A_0h		
Beads_Carrageenan_0_B	Beads	Carrageenan	Pure	0	B	A_0h		
Beads_AgaroseCarrageenan_0_C	Beads	AgaroseCarrageenan	Mixture	0	C	A_0h		
Beads_AgaroseAlginate_0_C	Beads	AgaroseAlginate	Mixture	0	C	A_0h		
Beads_Agarose_0_A	Beads	Agarose	Pure	0	A	A_0h		
Beads_Alginate_0_A	Beads	Alginate	Pure	0	A	A_0h		
Seawater_Agarose_0_A	Seawater	Agarose	Pure	0	A	A_0h		
Seawater_Chitin_0_A	Seawater	Chitin	Pure	0	A	A_0h		
Beads_Chitin_0_B	Beads	Chitin	Pure	0	B	A_0h		
Seawater_Chitosan_0_A	Seawater	Chitosan	Pure	0	A	A_0h		
Beads_Chitosan_0_A	Beads	Chitosan	Pure	0	A	A_0h		
Beads_Carrageenan_0_A	Beads	Carrageenan	Pure	0	A	A_0h		
Beads_AgaroseChitosan_0_A	Beads	AgaroseChitosan	Mixture	0	A	A_0h		
Seawater_Alginate_0_A	Seawater	Alginate	Pure	0	A	A_0h		
Beads_Chitin_0_A	Beads	Chitin	Pure	0	A	A_0h		
Seawater_Carrageenan_0_A	Seawater	Carrageenan	Pure	0	A	A_0h		
Beads_AgaroseCarrageenan_0_A	Beads	AgaroseCarrageenan	Mixture	0	A	A_0h		
Beads_AgaroseAlginate_0_A	Beads	AgaroseAlginate	Mixture	0	A	A_0h		
Beads_Agarose_12_A	Beads	Agarose	Pure	12	A	B_12-60h		
Beads_Alginate_12_A	Beads	Alginate	Pure	12	A	B_12-60h		
Seawater_Agarose_12_A	Seawater	Agarose	Pure	12	A	B_12-60h		
