#Sp1	#Sp2	#Cor	#type
ESV_1	ESV_13	0.4815	1
ESV_1	ESV_20	0.5906	1
ESV_1	ESV_30	0.4376	1
ESV_1	ESV_32	-0.472	2
ESV_1	ESV_33	-0.54990000000000006	2
ESV_1	ESV_43	-0.5138	2
ESV_1	ESV_48	0.4925	1
ESV_1	ESV_50	-0.5661	2
ESV_1	ESV_62	0.5721	1
ESV_1	ESV_69	-0.4867	2
ESV_1	ESV_78	0.4879	1
ESV_1	ESV_85	0.4712	1
ESV_1	ESV_88	-0.4687	2
ESV_1	ESV_91	-0.469	2
ESV_1	ESV_102	-0.517	2
ESV_1	ESV_105	-0.5474	2
ESV_1	ESV_106	0.5031	1
ESV_1	ESV_109	-0.4444	2
ESV_1	ESV_110	-0.4324	2
ESV_1	ESV_126	-0.5869	2
ESV_1	ESV_136	0.5891	1
ESV_1	ESV_149	-0.4212	2
ESV_1	ESV_159	0.4612	1
ESV_1	ESV_182	0.605	1
ESV_1	ESV_183	0.4332	1
ESV_1	ESV_185	0.522	1
ESV_1	ESV_188	0.4314	1
ESV_1	ESV_191	-0.4858	2
ESV_1	ESV_203	0.5273	1
ESV_1	ESV_206	-0.5081	2
ESV_1	ESV_213	-0.454	2
ESV_1	ESV_218	0.4242	1
ESV_1	ESV_220	0.4962	1
ESV_1	ESV_251	0.4536	1
ESV_1	ESV_265	-0.5382	2
ESV_1	ESV_266	0.5361	1
ESV_1	ESV_269	0.4921	1
ESV_1	ESV_274	0.4734	1
ESV_1	ESV_279	-0.5155	2
ESV_1	ESV_296	0.4239	1
ESV_1	ESV_301	-0.4992	2
ESV_1	ESV_303	0.4259	1
ESV_1	ESV_315	0.4215	1
ESV_1	ESV_316	0.5564	1
ESV_1	ESV_323	-0.4568	2
ESV_1	ESV_325	0.6371	1
ESV_1	ESV_328	0.5306	1
ESV_1	ESV_335	0.6117	1
ESV_1	ESV_340	0.5098	1
ESV_1	ESV_341	-0.4795	2
ESV_1	ESV_347	0.4856	1
ESV_1	ESV_361	0.5266	1
ESV_1	ESV_363	0.5721	1
ESV_1	ESV_379	0.5046	1
ESV_1	ESV_381	0.4618	1
ESV_1	ESV_382	0.5146	1
ESV_1	ESV_395	-0.4135	2
ESV_1	ESV_445	0.4841	1
ESV_1	ESV_447	0.5753	1
ESV_1	ESV_455	0.6053	1
ESV_1	ESV_463	0.5931	1
ESV_1	ESV_466	0.4376	1
ESV_1	ESV_479	-0.4883	2
ESV_1	ESV_481	0.519	1
ESV_1	ESV_482	-0.4248	2
ESV_1	ESV_505	0.5191	1
ESV_1	ESV_513	0.4901	1
ESV_1	ESV_520	0.4604	1
ESV_1	ESV_521	0.4449	1
ESV_1	ESV_540	-0.4394	2
ESV_1	ESV_565	-0.4231	2
ESV_1	ESV_592	-0.482	2
ESV_1	ESV_619	0.6991	1
ESV_1	ESV_621	0.4175	1
ESV_1	ESV_631	0.4287	1
ESV_1	ESV_706	-0.4306	2
ESV_1	ESV_708	0.4233	1
ESV_1	ESV_733	-0.4344	2
ESV_1	ESV_741	-0.5015	2
ESV_1	ESV_750	-0.4932	2
ESV_1	ESV_784	-0.4178	2
ESV_1	ESV_810	0.4444	1
ESV_1	ESV_820	-0.5125	2
ESV_1	ESV_829	-0.4431	2
ESV_1	ESV_831	-0.4525	2
ESV_1	ESV_890	-0.5029	2
ESV_1	ESV_891	0.4406	1
ESV_1	ESV_908	-0.4612	2
ESV_1	ESV_950	-0.4785	2
ESV_1	ESV_959	0.4992	1
ESV_1	ESV_1039	-0.5155	2
ESV_1	ESV_1041	0.4735	1
ESV_1	ESV_1079	-0.5178	2
ESV_1	ESV_1097	-0.4197	2
ESV_1	ESV_1098	0.425	1
ESV_1	ESV_1154	-0.6026	2
ESV_1	ESV_1169	-0.4873	2
ESV_1	ESV_1220	-0.4497	2
ESV_1	ESV_1221	-0.4629	2
ESV_1	ESV_1275	0.4556	1
ESV_1	ESV_1287	-0.5233	2
ESV_1	ESV_1298	0.4211	1
ESV_1	ESV_1357	-0.481	2
ESV_1	ESV_1362	-0.4991	2
ESV_1	ESV_1398	-0.4701	2
ESV_1	ESV_1399	-0.4296	2
ESV_1	ESV_1530	-0.5519	2
ESV_1	ESV_1598	0.4145	1
ESV_1	ESV_1682	0.5025	1
ESV_1	ESV_1751	-0.4481	2
ESV_1	ESV_1911	-0.4346	2
ESV_1	ESV_1939	-0.5087	2
ESV_1	ESV_1946	-0.453	2
ESV_1	ESV_2144	-0.4391	2
ESV_1	ESV_2238	-0.4203	2
ESV_1	ESV_2289	-0.4876	2
ESV_1	ESV_2296	-0.4822	2
ESV_1	ESV_2348	-0.4231	2
ESV_1	ESV_2408	-0.5062	2
ESV_1	ESV_2717	-0.4832	2
ESV_1	ESV_3540	-0.4627	2
ESV_1	ESV_4828	-0.4531	2
ESV_2	ESV_7	-0.5024	2
ESV_2	ESV_11	-0.6182	2
ESV_2	ESV_16	0.4465	1
ESV_2	ESV_18	-0.465	2
ESV_2	ESV_20	0.4494	1
ESV_2	ESV_22	0.8119	1
ESV_2	ESV_23	0.7113	1
ESV_2	ESV_27	-0.6847	2
ESV_2	ESV_28	0.7237	1
ESV_2	ESV_29	-0.742	2
ESV_2	ESV_30	0.7175	1
ESV_2	ESV_32	-0.7619	2
ESV_2	ESV_33	-0.4588	2
ESV_2	ESV_36	0.7549	1
ESV_2	ESV_38	-0.7818	2
ESV_2	ESV_39	-0.524	2
ESV_2	ESV_40	0.6606	1
ESV_2	ESV_41	-0.6007	2
ESV_2	ESV_43	-0.5893	2
ESV_2	ESV_47	-0.6842	2
ESV_2	ESV_50	-0.7046	2
ESV_2	ESV_51	0.6997	1
ESV_2	ESV_52	0.64	1
ESV_2	ESV_53	0.7495	1
ESV_2	ESV_55	-0.5487	2
ESV_2	ESV_56	0.7083	1
ESV_2	ESV_62	0.7839	1
ESV_2	ESV_63	-0.5747	2
ESV_2	ESV_66	-0.5551	2
ESV_2	ESV_69	-0.5531	2
ESV_2	ESV_71	0.4856	1
ESV_2	ESV_75	-0.6728	2
ESV_2	ESV_76	0.5801	1
ESV_2	ESV_78	0.523	1
ESV_2	ESV_80	0.6146	1
ESV_2	ESV_82	-0.6173	2
ESV_2	ESV_83	-0.5689	2
ESV_2	ESV_85	0.5388	1
ESV_2	ESV_88	-0.6889	2
ESV_2	ESV_91	-0.7057	2
ESV_2	ESV_92	-0.7088	2
ESV_2	ESV_96	-0.6808	2
ESV_2	ESV_101	0.65	1
ESV_2	ESV_102	-0.5012	2
ESV_2	ESV_103	-0.5677	2
ESV_2	ESV_105	-0.7275	2
ESV_2	ESV_106	0.7433	1
ESV_2	ESV_108	0.4783	1
ESV_2	ESV_110	-0.5526	2
ESV_2	ESV_113	0.5314	1
ESV_2	ESV_118	-0.5037	2
ESV_2	ESV_126	-0.6736	2
ESV_2	ESV_128	-0.4329	2
ESV_2	ESV_132	0.8128	1
ESV_2	ESV_134	0.6214	1
ESV_2	ESV_136	0.569	1
ESV_2	ESV_137	0.4843	1
ESV_2	ESV_143	-0.542	2
ESV_2	ESV_145	0.6708	1
ESV_2	ESV_160	0.4851	1
ESV_2	ESV_161	0.6554	1
ESV_2	ESV_162	-0.6436	2
ESV_2	ESV_163	-0.7294	2
ESV_2	ESV_169	0.6069	1
ESV_2	ESV_171	0.6434	1
ESV_2	ESV_172	0.4816	1
ESV_2	ESV_173	0.7336	1
ESV_2	ESV_175	0.8215	1
ESV_2	ESV_182	0.6316	1
ESV_2	ESV_183	0.4482	1
ESV_2	ESV_188	0.4675	1
ESV_2	ESV_191	-0.5991	2
ESV_2	ESV_192	0.6498	1
ESV_2	ESV_201	-0.4415	2
ESV_2	ESV_203	0.5435	1
ESV_2	ESV_204	0.4436	1
ESV_2	ESV_205	0.5691	1
ESV_2	ESV_206	-0.7162	2
ESV_2	ESV_208	0.7669	1
ESV_2	ESV_209	-0.6731	2
ESV_2	ESV_212	-0.636	2
ESV_2	ESV_213	-0.532	2
ESV_2	ESV_220	0.5651	1
ESV_2	ESV_222	-0.6399	2
ESV_2	ESV_225	-0.478	2
ESV_2	ESV_228	-0.6907	2
ESV_2	ESV_229	0.728	1
ESV_2	ESV_230	0.8379	1
ESV_2	ESV_239	-0.7201	2
ESV_2	ESV_241	0.8271	1
ESV_2	ESV_248	0.4762	1
ESV_2	ESV_251	0.8966	1
ESV_2	ESV_252	0.6686	1
ESV_2	ESV_255	0.4759	1
ESV_2	ESV_256	0.4566	1
ESV_2	ESV_257	0.4417	1
ESV_2	ESV_260	0.5813	1
ESV_2	ESV_261	0.5514	1
ESV_2	ESV_263	0.5929	1
ESV_2	ESV_265	-0.7167	2
ESV_2	ESV_266	0.5457	1
ESV_2	ESV_269	0.7326	1
ESV_2	ESV_271	-0.6374	2
ESV_2	ESV_272	0.4897	1
ESV_2	ESV_276	0.5192	1
ESV_2	ESV_277	0.4855	1
ESV_2	ESV_279	-0.5211	2
ESV_2	ESV_288	0.4708	1
ESV_2	ESV_293	0.6693	1
ESV_2	ESV_294	-0.5324	2
ESV_2	ESV_296	0.589	1
ESV_2	ESV_298	-0.5721	2
ESV_2	ESV_299	0.6734	1
ESV_2	ESV_301	-0.4547	2
ESV_2	ESV_303	0.5007	1
ESV_2	ESV_309	0.463	1
ESV_2	ESV_311	0.6083	1
ESV_2	ESV_312	-0.609	2
ESV_2	ESV_315	0.6525	1
ESV_2	ESV_319	0.4417	1
ESV_2	ESV_320	-0.5545	2
ESV_2	ESV_321	-0.4359	2
ESV_2	ESV_325	0.6333	1
ESV_2	ESV_328	0.563	1
ESV_2	ESV_330	0.5255	1
ESV_2	ESV_335	0.7569	1
ESV_2	ESV_338	-0.5134	2
ESV_2	ESV_340	0.7196	1
ESV_2	ESV_341	-0.6216	2
ESV_2	ESV_344	-0.5994	2
ESV_2	ESV_347	0.441	1
ESV_2	ESV_353	-0.4523	2
ESV_2	ESV_359	-0.701	2
ESV_2	ESV_361	0.6482	1
ESV_2	ESV_363	0.4525	1
ESV_2	ESV_375	-0.5719	2
ESV_2	ESV_379	0.7687	1
ESV_2	ESV_381	0.54990000000000006	1
ESV_2	ESV_387	-0.4294	2
ESV_2	ESV_389	0.6667	1
ESV_2	ESV_391	-0.5245	2
ESV_2	ESV_394	-0.678	2
ESV_2	ESV_395	-0.7785	2
ESV_2	ESV_399	0.6715	1
ESV_2	ESV_408	0.4969	1
ESV_2	ESV_424	-0.4629	2
ESV_2	ESV_434	0.5564	1
ESV_2	ESV_437	0.4808	1
ESV_2	ESV_441	0.5393	1
ESV_2	ESV_445	0.7537	1
ESV_2	ESV_446	-0.5614	2
ESV_2	ESV_447	0.7398	1
ESV_2	ESV_448	0.8068	1
ESV_2	ESV_449	0.4922	1
ESV_2	ESV_455	0.6547	1
ESV_2	ESV_457	0.5405	1
ESV_2	ESV_459	0.5747	1
ESV_2	ESV_463	0.5962	1
ESV_2	ESV_467	0.5437	1
ESV_2	ESV_473	0.6306	1
ESV_2	ESV_476	-0.4317	2
ESV_2	ESV_479	-0.5462	2
ESV_2	ESV_481	0.6951	1
ESV_2	ESV_482	-0.6967	2
ESV_2	ESV_490	0.5776	1
ESV_2	ESV_499	0.5006	1
ESV_2	ESV_503	-0.595	2
ESV_2	ESV_505	0.4737	1
ESV_2	ESV_509	0.5827	1
ESV_2	ESV_513	0.4454	1
ESV_2	ESV_517	0.583	1
ESV_2	ESV_518	0.5608	1
ESV_2	ESV_520	0.5247	1
ESV_2	ESV_529	0.5246	1
ESV_2	ESV_531	0.566	1
ESV_2	ESV_532	0.5458	1
ESV_2	ESV_542	-0.4381	2
ESV_2	ESV_552	-0.5314	2
ESV_2	ESV_553	0.5605	1
ESV_2	ESV_563	0.5986	1
ESV_2	ESV_565	-0.4206	2
ESV_2	ESV_571	0.6151	1
ESV_2	ESV_572	-0.4532	2
ESV_2	ESV_574	0.5712	1
ESV_2	ESV_582	0.4818	1
ESV_2	ESV_592	-0.4623	2
ESV_2	ESV_593	-0.4584	2
ESV_2	ESV_596	-0.4571	2
ESV_2	ESV_598	0.589	1
ESV_2	ESV_602	-0.6561	2
ESV_2	ESV_603	0.7997	1
ESV_2	ESV_605	0.5673	1
ESV_2	ESV_619	0.4372	1
ESV_2	ESV_620	-0.4963	2
ESV_2	ESV_625	0.5544	1
ESV_2	ESV_629	-0.5123	2
ESV_2	ESV_644	0.7871	1
ESV_2	ESV_648	-0.5318	2
ESV_2	ESV_650	0.8332	1
ESV_2	ESV_653	0.6035	1
ESV_2	ESV_654	-0.5375	2
ESV_2	ESV_661	0.5874	1
ESV_2	ESV_666	-0.6592	2
ESV_2	ESV_669	-0.636	2
ESV_2	ESV_680	-0.5412	2
ESV_2	ESV_681	-0.4774	2
ESV_2	ESV_683	-0.4919	2
ESV_2	ESV_684	0.5698	1
ESV_2	ESV_685	0.6359	1
ESV_2	ESV_688	-0.5209	2
ESV_2	ESV_692	0.4678	1
ESV_2	ESV_695	-0.5153	2
ESV_2	ESV_700	0.5511	1
ESV_2	ESV_704	-0.5775	2
ESV_2	ESV_706	-0.6192	2
ESV_2	ESV_707	0.4889	1
ESV_2	ESV_709	-0.5335	2
ESV_2	ESV_712	-0.5927	2
ESV_2	ESV_720	-0.4855	2
ESV_2	ESV_723	-0.4844	2
ESV_2	ESV_727	0.5362	1
ESV_2	ESV_729	-0.4675	2
ESV_2	ESV_736	0.4389	1
ESV_2	ESV_739	-0.4816	2
ESV_2	ESV_741	-0.754	2
ESV_2	ESV_742	-0.4849	2
ESV_2	ESV_750	-0.559	2
ESV_2	ESV_758	0.6412	1
ESV_2	ESV_764	-0.462	2
ESV_2	ESV_770	-0.5589	2
ESV_2	ESV_775	0.43	1
ESV_2	ESV_776	0.5666	1
ESV_2	ESV_784	-0.5816	2
ESV_2	ESV_792	-0.5773	2
ESV_2	ESV_809	0.5063	1
ESV_2	ESV_811	0.7084	1
ESV_2	ESV_818	-0.4343	2
ESV_2	ESV_819	0.581	1
ESV_2	ESV_820	-0.7095	2
ESV_2	ESV_825	-0.4604	2
ESV_2	ESV_828	0.5171	1
ESV_2	ESV_831	-0.4283	2
ESV_2	ESV_836	-0.5748	2
ESV_2	ESV_839	0.4691	1
ESV_2	ESV_842	0.5619	1
ESV_2	ESV_843	0.592	1
ESV_2	ESV_852	-0.6282	2
ESV_2	ESV_858	-0.553	2
ESV_2	ESV_872	-0.5817	2
ESV_2	ESV_876	0.7443	1
ESV_2	ESV_880	-0.4404	2
ESV_2	ESV_881	0.7405	1
ESV_2	ESV_884	0.5183	1
ESV_2	ESV_891	0.4771	1
ESV_2	ESV_906	-0.4666	2
ESV_2	ESV_908	-0.6566	2
ESV_2	ESV_918	-0.5359	2
ESV_2	ESV_919	0.6319	1
ESV_2	ESV_920	0.5219	1
ESV_2	ESV_924	-0.5586	2
ESV_2	ESV_927	-0.5033	2
ESV_2	ESV_929	-0.5657	2
ESV_2	ESV_932	0.5288	1
ESV_2	ESV_935	0.6546	1
ESV_2	ESV_940	-0.5468	2
ESV_2	ESV_946	-0.5799	2
ESV_2	ESV_950	-0.5369	2
ESV_2	ESV_951	0.5067	1
ESV_2	ESV_953	0.434	1
ESV_2	ESV_958	0.4298	1
ESV_2	ESV_959	0.615	1
ESV_2	ESV_973	-0.5348	2
ESV_2	ESV_976	-0.4737	2
ESV_2	ESV_978	-0.5207	2
ESV_2	ESV_981	-0.5546	2
ESV_2	ESV_983	0.4397	1
ESV_2	ESV_987	0.6681	1
ESV_2	ESV_988	-0.5437	2
ESV_2	ESV_994	0.4925	1
ESV_2	ESV_1001	0.458	1
ESV_2	ESV_1003	0.5051	1
ESV_2	ESV_1004	0.6229	1
ESV_2	ESV_1010	-0.5392	2
ESV_2	ESV_1016	0.5673	1
ESV_2	ESV_1022	-0.693	2
ESV_2	ESV_1025	0.4907	1
ESV_2	ESV_1027	0.4631	1
ESV_2	ESV_1031	-0.5698	2
ESV_2	ESV_1039	-0.5972	2
ESV_2	ESV_1041	0.4282	1
ESV_2	ESV_1049	0.6622	1
ESV_2	ESV_1062	0.5544	1
ESV_2	ESV_1064	0.6837	1
ESV_2	ESV_1066	0.4671	1
ESV_2	ESV_1070	-0.6395	2
ESV_2	ESV_1072	0.6421	1
ESV_2	ESV_1073	-0.5754	2
ESV_2	ESV_1079	-0.5984	2
ESV_2	ESV_1085	0.7728	1
ESV_2	ESV_1092	-0.4491	2
ESV_2	ESV_1101	0.486	1
ESV_2	ESV_1104	-0.5296	2
ESV_2	ESV_1106	-0.4353	2
ESV_2	ESV_1109	0.4296	1
ESV_2	ESV_1121	0.5675	1
ESV_2	ESV_1123	0.5068	1
ESV_2	ESV_1130	0.5492	1
ESV_2	ESV_1149	0.485	1
ESV_2	ESV_1151	0.5995	1
ESV_2	ESV_1152	0.4286	1
ESV_2	ESV_1153	-0.5112	2
ESV_2	ESV_1154	-0.6288	2
ESV_2	ESV_1157	0.4881	1
ESV_2	ESV_1161	-0.672	2
ESV_2	ESV_1165	-0.6195	2
ESV_2	ESV_1166	0.4598	1
ESV_2	ESV_1175	-0.4947	2
ESV_2	ESV_1178	-0.4988	2
ESV_2	ESV_1184	-0.5957	2
ESV_2	ESV_1185	-0.5099	2
ESV_2	ESV_1189	-0.54990000000000006	2
ESV_2	ESV_1198	-0.4132	2
ESV_2	ESV_1203	0.4894	1
ESV_2	ESV_1205	0.626	1
ESV_2	ESV_1220	-0.5462	2
ESV_2	ESV_1221	-0.5696	2
ESV_2	ESV_1228	-0.5745	2
