#Sp1	#Sp2	#Cor	#type
ESV_1	ESV_2	0.468	1
ESV_1	ESV_4	0.6308	1
ESV_1	ESV_6	0.6719	1
ESV_1	ESV_8	0.6949	1
ESV_1	ESV_10	0.7956	1
ESV_1	ESV_13	0.7072	1
ESV_1	ESV_17	-0.5932	2
ESV_1	ESV_18	0.6959	1
ESV_1	ESV_20	0.7267	1
ESV_1	ESV_24	-0.5295	2
ESV_1	ESV_29	-0.6978	2
ESV_1	ESV_30	0.4488	1
ESV_1	ESV_31	0.5168	1
ESV_1	ESV_32	-0.4893	2
ESV_1	ESV_34	-0.4609	2
ESV_1	ESV_36	0.5187	1
ESV_1	ESV_37	-0.4439	2
ESV_1	ESV_39	-0.4563	2
ESV_1	ESV_40	0.4771	1
ESV_1	ESV_42	0.7087	1
ESV_1	ESV_43	-0.608	2
ESV_1	ESV_45	0.647	1
ESV_1	ESV_47	-0.4611	2
ESV_1	ESV_48	0.7136	1
ESV_1	ESV_50	-0.4506	2
ESV_1	ESV_60	0.5104	1
ESV_1	ESV_62	0.6321	1
ESV_1	ESV_65	0.6912	1
ESV_1	ESV_66	-0.4723	2
ESV_1	ESV_67	-0.7005	2
ESV_1	ESV_78	0.814	1
ESV_1	ESV_81	0.4428	1
ESV_1	ESV_85	0.8054	1
ESV_1	ESV_86	0.9187	1
ESV_1	ESV_95	0.6412	1
ESV_1	ESV_96	0.5158	1
ESV_1	ESV_98	-0.5342	2
ESV_1	ESV_100	0.4792	1
ESV_1	ESV_101	0.772	1
ESV_1	ESV_102	-0.497	2
ESV_1	ESV_104	0.5411	1
ESV_1	ESV_108	0.5992	1
ESV_1	ESV_112	0.533	1
ESV_1	ESV_113	0.6113	1
ESV_1	ESV_119	-0.544	2
ESV_1	ESV_124	0.599	1
ESV_1	ESV_128	0.6047	1
ESV_1	ESV_134	0.7283	1
ESV_1	ESV_136	0.8615	1
ESV_1	ESV_137	0.6402	1
ESV_1	ESV_141	0.5364	1
ESV_1	ESV_142	0.4923	1
ESV_1	ESV_143	-0.521	2
ESV_1	ESV_148	0.4956	1
ESV_1	ESV_157	0.4737	1
ESV_1	ESV_159	0.5824	1
ESV_1	ESV_167	0.6855	1
ESV_1	ESV_172	0.4884	1
ESV_1	ESV_179	-0.7258	2
ESV_1	ESV_181	0.5201	1
ESV_1	ESV_182	0.8474	1
ESV_1	ESV_183	0.526	1
ESV_1	ESV_185	0.7891	1
ESV_1	ESV_191	-0.6189	2
ESV_1	ESV_192	0.5008	1
ESV_1	ESV_195	0.4688	1
ESV_1	ESV_200	0.5181	1
ESV_1	ESV_203	0.5782	1
ESV_1	ESV_205	0.5256	1
ESV_1	ESV_206	-0.4525	2
ESV_1	ESV_208	0.5817	1
ESV_1	ESV_216	0.5675	1
ESV_1	ESV_218	0.7558	1
ESV_1	ESV_220	0.7721	1
ESV_1	ESV_223	0.4771	1
ESV_1	ESV_238	0.5239	1
ESV_1	ESV_243	0.6706	1
ESV_1	ESV_245	0.8734	1
ESV_1	ESV_253	0.5765	1
ESV_1	ESV_255	0.6018	1
ESV_1	ESV_257	0.7173	1
ESV_1	ESV_260	0.7004	1
ESV_1	ESV_262	0.4335	1
ESV_1	ESV_263	0.5327	1
ESV_1	ESV_266	0.4487	1
ESV_1	ESV_269	0.5268	1
ESV_1	ESV_271	0.5513	1
ESV_1	ESV_272	0.5056	1
ESV_1	ESV_274	0.6552	1
ESV_1	ESV_276	0.43120000000000003	1
ESV_1	ESV_281	-0.4419	2
ESV_1	ESV_282	0.4906	1
ESV_1	ESV_288	0.6361	1
ESV_1	ESV_290	0.4714	1
ESV_1	ESV_291	0.7638	1
ESV_1	ESV_297	-0.4742	2
ESV_1	ESV_301	-0.5116	2
ESV_1	ESV_303	0.6817	1
ESV_1	ESV_305	0.6784	1
ESV_1	ESV_309	0.5493	1
ESV_1	ESV_315	0.6526	1
ESV_1	ESV_316	0.8002	1
ESV_1	ESV_319	0.5019	1
ESV_1	ESV_325	0.6758	1
ESV_1	ESV_327	0.5329	1
ESV_1	ESV_332	-0.6047	2
ESV_1	ESV_334	0.4203	1
ESV_1	ESV_335	0.8487	1
ESV_1	ESV_338	-0.4942	2
ESV_1	ESV_341	-0.4203	2
ESV_1	ESV_344	0.5617	1
ESV_1	ESV_345	0.6368	1
ESV_1	ESV_347	0.5158	1
ESV_1	ESV_353	-0.6584	2
ESV_1	ESV_358	0.592	1
ESV_1	ESV_359	-0.6285	2
ESV_1	ESV_361	0.8185	1
ESV_1	ESV_363	0.4969	1
ESV_1	ESV_372	0.686	1
ESV_1	ESV_378	-0.6364	2
ESV_1	ESV_379	0.6612	1
ESV_1	ESV_381	0.6974	1
ESV_1	ESV_390	0.6744	1
ESV_1	ESV_392	0.5393	1
ESV_1	ESV_395	-0.4881	2
