Sp1	Sp2	Cor	type
ESV_1	ESV_2	0.6184	0
ESV_1	ESV_20	0.4144	0
ESV_1	ESV_22	0.4388	0
ESV_1	ESV_23	0.4722	0
ESV_1	ESV_25	-0.4569	1
ESV_1	ESV_28	0.5038	0
ESV_1	ESV_30	0.4899	0
ESV_1	ESV_32	-0.4868	1
ESV_1	ESV_36	0.5215	0
ESV_1	ESV_40	0.4835	0
ESV_1	ESV_43	-0.4706	1
ESV_1	ESV_45	0.5141	0
ESV_1	ESV_50	-0.4676	1
ESV_1	ESV_52	0.5751	0
ESV_1	ESV_53	0.6121	0
ESV_1	ESV_54	-0.4422	1
ESV_1	ESV_56	0.5165	0
ESV_1	ESV_62	0.5559	0
ESV_1	ESV_71	0.483	0
ESV_1	ESV_76	0.4482	0
ESV_1	ESV_78	0.5428	0
ESV_1	ESV_80	0.469	0
ESV_1	ESV_83	-0.4376	1
ESV_1	ESV_84	-0.4891	1
ESV_1	ESV_85	0.7204	0
ESV_1	ESV_88	-0.4742	1
ESV_1	ESV_94	0.5573	0
ESV_1	ESV_101	0.587	0
ESV_1	ESV_103	-0.6252	1
ESV_1	ESV_105	-0.4796	1
ESV_1	ESV_106	0.5936	0
ESV_1	ESV_108	0.422	0
ESV_1	ESV_109	-0.4317	1
ESV_1	ESV_118	-0.4506	1
ESV_1	ESV_132	0.4837	0
ESV_1	ESV_134	0.488	0
ESV_1	ESV_136	0.5947	0
ESV_1	ESV_171	0.4982	0
ESV_1	ESV_173	0.5113	0
ESV_1	ESV_175	0.5121	0
ESV_1	ESV_182	0.4968	0
ESV_1	ESV_183	0.5151	0
ESV_1	ESV_185	0.48	0
ESV_1	ESV_188	0.4157	0
ESV_1	ESV_189	-0.5088	1
ESV_1	ESV_190	0.4513	0
ESV_1	ESV_191	-0.4993	1
ESV_1	ESV_195	0.4675	0
ESV_1	ESV_205	0.569	0
ESV_1	ESV_206	-0.5518	1
ESV_1	ESV_220	0.5662	0
ESV_1	ESV_230	0.5386	0
ESV_1	ESV_241	0.44	0
ESV_1	ESV_245	0.4607	0
ESV_1	ESV_251	0.5461	0
ESV_1	ESV_260	0.4999	0
ESV_1	ESV_265	-0.454	1
ESV_1	ESV_269	0.4516	0
ESV_1	ESV_276	0.4725	0
ESV_1	ESV_277	0.4206	0
ESV_1	ESV_293	0.4235	0
ESV_1	ESV_299	0.5099	0
ESV_1	ESV_306	-0.4207	1
ESV_1	ESV_308	0.5142	0
ESV_1	ESV_309	0.4354	0
ESV_1	ESV_325	0.5302	0
ESV_1	ESV_331	-0.4143	1
ESV_1	ESV_335	0.6026	0
ESV_1	ESV_345	0.594	0
ESV_1	ESV_352	-0.5701	1
ESV_1	ESV_353	-0.5255	1
ESV_1	ESV_359	-0.4295	1
ESV_1	ESV_363	0.5829	0
ESV_1	ESV_367	-0.4251	1
ESV_1	ESV_380	-0.5659	1
ESV_1	ESV_382	0.5421	0
ESV_1	ESV_389	0.4547	0
ESV_1	ESV_401	-0.5442	1
ESV_1	ESV_436	-0.5726	1
ESV_1	ESV_439	-0.4331	1
ESV_1	ESV_440	-0.435	1
ESV_1	ESV_455	0.562	0
ESV_1	ESV_459	0.568	0
ESV_1	ESV_464	0.526	0
ESV_1	ESV_470	-0.4899	1
ESV_1	ESV_497	-0.5361	1
ESV_1	ESV_515	-0.5165	1
ESV_1	ESV_519	0.6241	0
ESV_1	ESV_520	0.4431	0
ESV_1	ESV_521	0.4615	0
ESV_1	ESV_549	-0.5423	1
ESV_1	ESV_609	-0.6033	1
ESV_1	ESV_613	-0.4765	1
ESV_1	ESV_616	0.5118	0
ESV_1	ESV_637	0.42	0
ESV_1	ESV_644	0.5238	0
ESV_1	ESV_653	0.4889	0
ESV_1	ESV_656	-0.5425	1
ESV_1	ESV_670	0.5355	0
ESV_1	ESV_720	-0.5431	1
ESV_1	ESV_727	0.5208	0
ESV_1	ESV_734	-0.4316	1
ESV_1	ESV_739	-0.4758	1
ESV_1	ESV_743	0.4172	0
ESV_1	ESV_758	0.5532	0
ESV_1	ESV_792	-0.4227	1
ESV_1	ESV_800	-0.4712	1
ESV_1	ESV_801	0.5951	0
ESV_1	ESV_848	0.4492	0
ESV_1	ESV_872	-0.4374	1
ESV_1	ESV_873	-0.4468	1
ESV_1	ESV_881	0.4962	0
ESV_1	ESV_890	-0.5018	1
ESV_1	ESV_899	-0.4704	1
ESV_1	ESV_932	0.5948	0
ESV_1	ESV_946	-0.5056	1
ESV_1	ESV_959	0.5014	0
ESV_1	ESV_967	-0.4134	1
ESV_1	ESV_1005	0.5376	0
ESV_1	ESV_1036	0.5647	0
ESV_1	ESV_1041	0.5836	0
ESV_1	ESV_1072	0.4717	0
ESV_1	ESV_1093	0.4358	0
ESV_1	ESV_1134	-0.4189	1
ESV_1	ESV_1154	-0.4163	1
ESV_1	ESV_1155	0.4245	0
ESV_1	ESV_1170	-0.4764	1
ESV_1	ESV_1222	-0.4698	1
ESV_1	ESV_1231	0.4679	0
ESV_1	ESV_1259	0.5428	0
ESV_1	ESV_1261	-0.4573	1
ESV_1	ESV_1309	-0.4624	1
ESV_1	ESV_1380	-0.4373	1
ESV_1	ESV_1434	-0.4625	1
ESV_1	ESV_1449	-0.4558	1
ESV_1	ESV_1534	0.4716	0
ESV_1	ESV_1632	0.4292	0
ESV_1	ESV_1689	0.4573	0
ESV_1	ESV_1694	-0.54	1
ESV_1	ESV_1894	-0.5232	1
ESV_1	ESV_1914	0.4739	0
ESV_1	ESV_2147	-0.4331	1
ESV_1	ESV_2614	0.5794	0
ESV_1	ESV_3625	0.429	0
ESV_2	ESV_3	-0.5394	1
ESV_2	ESV_12	-0.5471	1
ESV_2	ESV_17	-0.5427	1
ESV_2	ESV_20	0.4392	0
ESV_2	ESV_22	0.8218	0
ESV_2	ESV_23	0.7147	0
ESV_2	ESV_24	-0.6453	1
ESV_2	ESV_25	-0.5983	1
ESV_2	ESV_27	-0.6294	1
ESV_2	ESV_28	0.6073	0
ESV_2	ESV_29	-0.618	1
ESV_2	ESV_30	0.6848	0
ESV_2	ESV_32	-0.8256	1
ESV_2	ESV_36	0.6998	0
ESV_2	ESV_39	-0.6614	1
ESV_2	ESV_40	0.5283	0
ESV_2	ESV_43	-0.4784	1
ESV_2	ESV_47	-0.4786	1
ESV_2	ESV_50	-0.7212	1
ESV_2	ESV_51	0.6117	0
ESV_2	ESV_52	0.7694	0
ESV_2	ESV_53	0.8301	0
ESV_2	ESV_54	-0.5418	1
ESV_2	ESV_56	0.6118	0
ESV_2	ESV_62	0.7854	0
ESV_2	ESV_67	-0.6604	1
ESV_2	ESV_71	0.7495	0
ESV_2	ESV_74	-0.443	1
ESV_2	ESV_78	0.5409	0
ESV_2	ESV_80	0.4839	0
ESV_2	ESV_83	-0.8114	1
ESV_2	ESV_85	0.828	0
ESV_2	ESV_87	-0.4548	1
ESV_2	ESV_88	-0.8436	1
ESV_2	ESV_94	0.6855	0
ESV_2	ESV_99	-0.5947	1
ESV_2	ESV_101	0.6365	0
ESV_2	ESV_102	-0.5509	1
ESV_2	ESV_103	-0.8651	1
ESV_2	ESV_105	-0.7461	1
ESV_2	ESV_106	0.7444	0
ESV_2	ESV_108	0.5141	0
ESV_2	ESV_109	-0.429	1
ESV_2	ESV_113	0.5621	0
ESV_2	ESV_118	-0.5341	1
ESV_2	ESV_125	-0.4885	1
ESV_2	ESV_132	0.8429	0
ESV_2	ESV_134	0.5807	0
ESV_2	ESV_136	0.7327	0
ESV_2	ESV_143	-0.526	1
ESV_2	ESV_145	0.6782	0
ESV_2	ESV_153	-0.4598	1
ESV_2	ESV_161	0.5819	0
ESV_2	ESV_164	0.4328	0
ESV_2	ESV_169	0.4969	0
ESV_2	ESV_171	0.8491	0
ESV_2	ESV_173	0.7743	0
ESV_2	ESV_174	-0.4249	1
ESV_2	ESV_175	0.8955	0
ESV_2	ESV_182	0.7	0
ESV_2	ESV_183	0.5926	0
ESV_2	ESV_185	0.556	0
ESV_2	ESV_188	0.4461	0
ESV_2	ESV_189	-0.4601	1
ESV_2	ESV_190	0.7612	0
ESV_2	ESV_191	-0.6731	1
ESV_2	ESV_192	0.5145	0
ESV_2	ESV_205	0.685	0
ESV_2	ESV_206	-0.7479	1
ESV_2	ESV_208	0.7757	0
ESV_2	ESV_213	-0.6054	1
ESV_2	ESV_220	0.7507	0
ESV_2	ESV_224	-0.4474	1
ESV_2	ESV_229	0.6087	0
ESV_2	ESV_230	0.8234	0
ESV_2	ESV_240	0.4219	0
ESV_2	ESV_241	0.7552	0
ESV_2	ESV_251	0.7557	0
ESV_2	ESV_252	0.6468	0
ESV_2	ESV_253	0.6118	0
ESV_2	ESV_255	0.6815	0
ESV_2	ESV_257	0.6296	0
ESV_2	ESV_258	-0.5138	1
ESV_2	ESV_260	0.7466	0
ESV_2	ESV_263	0.508	0
ESV_2	ESV_265	-0.6668	1
ESV_2	ESV_266	0.6013	0
ESV_2	ESV_269	0.6062	0
ESV_2	ESV_276	0.5832	0
ESV_2	ESV_277	0.4739	0
ESV_2	ESV_283	-0.4743	1
ESV_2	ESV_288	0.5618	0
ESV_2	ESV_292	0.5471	0
ESV_2	ESV_293	0.6259	0
ESV_2	ESV_294	-0.4755	1
ESV_2	ESV_296	0.6859	0
ESV_2	ESV_299	0.8699	0
ESV_2	ESV_303	0.4868	0
ESV_2	ESV_306	-0.5321	1
ESV_2	ESV_308	0.5846	0
ESV_2	ESV_309	0.4579	0
ESV_2	ESV_311	0.489	0
ESV_2	ESV_315	0.4985	0
ESV_2	ESV_319	0.5506	0
ESV_2	ESV_330	0.6623	0
ESV_2	ESV_332	-0.6439	1
ESV_2	ESV_335	0.756	0
ESV_2	ESV_336	-0.5082	1
ESV_2	ESV_341	-0.6409	1
ESV_2	ESV_345	0.4262	0
ESV_2	ESV_347	0.6979	0
ESV_2	ESV_352	-0.5705	1
ESV_2	ESV_359	-0.6357	1
ESV_2	ESV_361	0.6033	0
ESV_2	ESV_363	0.6856	0
ESV_2	ESV_367	-0.5901	1
ESV_2	ESV_375	-0.4587	1
ESV_2	ESV_379	0.5879	0
ESV_2	ESV_380	-0.5084	1
ESV_2	ESV_381	0.4537	0
ESV_2	ESV_382	0.5504	0
ESV_2	ESV_389	0.7428	0
ESV_2	ESV_397	-0.5419	1
ESV_2	ESV_404	0.6285	0
ESV_2	ESV_408	0.5052	0
ESV_2	ESV_413	0.5124	0
ESV_2	ESV_429	-0.4945	1
ESV_2	ESV_436	-0.6205	1
ESV_2	ESV_437	0.5379	0
ESV_2	ESV_439	-0.5229	1
ESV_2	ESV_445	0.6799	0
ESV_2	ESV_446	-0.5264	1
ESV_2	ESV_447	0.6602	0
ESV_2	ESV_448	0.7829	0
ESV_2	ESV_455	0.7113	0
ESV_2	ESV_459	0.7724	0
ESV_2	ESV_463	0.6535	0
ESV_2	ESV_464	0.7446	0
ESV_2	ESV_468	0.6925	0
ESV_2	ESV_470	-0.5411	1
ESV_2	ESV_473	0.6479	0
ESV_2	ESV_475	0.4715	0
ESV_2	ESV_479	-0.6259	1
ESV_2	ESV_481	0.6344	0
ESV_2	ESV_490	0.5682	0
ESV_2	ESV_497	-0.6806	1
ESV_2	ESV_499	0.4357	0
ESV_2	ESV_501	0.5183	0
ESV_2	ESV_505	0.5706	0
ESV_2	ESV_507	-0.5549	1
ESV_2	ESV_509	0.5862	0
ESV_2	ESV_516	0.5379	0
ESV_2	ESV_517	0.6601	0
ESV_2	ESV_519	0.5964	0
ESV_2	ESV_520	0.5548	0
ESV_2	ESV_521	0.6161	0
ESV_2	ESV_529	0.43120000000000003	0
ESV_2	ESV_532	0.5641	0
ESV_2	ESV_538	0.4612	0
ESV_2	ESV_540	0.5874	0
ESV_2	ESV_549	-0.5322	1
ESV_2	ESV_554	0.5509	0
ESV_2	ESV_563	0.5719	0
ESV_2	ESV_571	0.4745	0
ESV_2	ESV_573	0.5623	0
ESV_2	ESV_574	0.6341	0
ESV_2	ESV_582	0.4597	0
ESV_2	ESV_596	-0.5898	1
ESV_2	ESV_599	0.6904	0
