#Sp1	#Sp2	#Cor	#type
ESV_1	ESV_62	0.479	1
ESV_1	ESV_78	0.5555	1
ESV_1	ESV_85	0.4832	1
ESV_1	ESV_112	0.5049	1
ESV_1	ESV_113	0.4374	1
ESV_1	ESV_168	0.5034	1
ESV_1	ESV_182	0.4378	1
ESV_1	ESV_205	0.5244	1
ESV_1	ESV_257	0.484	1
ESV_1	ESV_266	0.457	1
ESV_1	ESV_306	-0.4449	2
ESV_1	ESV_316	0.5088	1
ESV_1	ESV_335	0.4852	1
ESV_1	ESV_363	0.4976	1
ESV_1	ESV_426	0.6562	1
ESV_1	ESV_448	0.4299	1
ESV_1	ESV_450	0.4373	1
ESV_1	ESV_499	0.442	1
ESV_1	ESV_578	0.4382	1
ESV_1	ESV_619	0.4605	1
ESV_1	ESV_761	0.4405	1
ESV_1	ESV_859	-0.4986	2
ESV_1	ESV_1188	0.4894	1
ESV_1	ESV_1567	-0.4621	2
ESV_1	ESV_1882	-0.4956	2
ESV_2	ESV_3	-0.6243	2
ESV_2	ESV_12	-0.6336	2
ESV_2	ESV_19	0.5309	1
ESV_2	ESV_20	0.497	1
ESV_2	ESV_33	-0.5559	2
ESV_2	ESV_34	-0.5905	2
ESV_2	ESV_36	0.5457	1
ESV_2	ESV_40	0.6894	1
ESV_2	ESV_46	0.4443	1
ESV_2	ESV_48	0.5041	1
ESV_2	ESV_51	0.4307	1
ESV_2	ESV_52	0.5304	1
ESV_2	ESV_54	0.5714	1
ESV_2	ESV_59	-0.4688	2
ESV_2	ESV_62	0.5474	1
ESV_2	ESV_74	-0.4434	2
ESV_2	ESV_76	0.6669	1
ESV_2	ESV_78	0.5272	1
ESV_2	ESV_85	0.4539	1
ESV_2	ESV_90	0.5776	1
ESV_2	ESV_101	0.5768	1
ESV_2	ESV_103	-0.5829	2
ESV_2	ESV_107	0.5883	1
ESV_2	ESV_108	0.4856	1
ESV_2	ESV_112	0.7328	1
ESV_2	ESV_113	0.4807	1
ESV_2	ESV_130	0.5541	1
ESV_2	ESV_132	0.5265	1
ESV_2	ESV_134	0.5045	1
ESV_2	ESV_136	0.4788	1
ESV_2	ESV_140	0.5691	1
ESV_2	ESV_141	0.4653	1
ESV_2	ESV_161	0.5006	1
ESV_2	ESV_162	-0.4473	2
ESV_2	ESV_168	0.7222	1
ESV_2	ESV_172	0.4752	1
ESV_2	ESV_173	0.4661	1
ESV_2	ESV_180	-0.488	2
ESV_2	ESV_182	0.53	1
ESV_2	ESV_198	0.4408	1
ESV_2	ESV_203	0.4418	1
ESV_2	ESV_205	0.5403	1
ESV_2	ESV_206	-0.6928	2
ESV_2	ESV_208	0.4853	1
ESV_2	ESV_220	0.4188	1
ESV_2	ESV_229	0.4807	1
ESV_2	ESV_251	0.4851	1
ESV_2	ESV_253	0.4763	1
ESV_2	ESV_257	0.4712	1
ESV_2	ESV_258	-0.5386	2
ESV_2	ESV_261	0.592	1
ESV_2	ESV_266	0.4712	1
ESV_2	ESV_276	0.5186	1
ESV_2	ESV_277	0.4216	1
ESV_2	ESV_293	0.4564	1
ESV_2	ESV_303	0.4459	1
ESV_2	ESV_308	0.4414	1
ESV_2	ESV_309	0.4522	1
ESV_2	ESV_311	0.4418	1
ESV_2	ESV_327	0.426	1
ESV_2	ESV_330	0.4987	1
ESV_2	ESV_334	0.5343	1
ESV_2	ESV_335	0.5389	1
ESV_2	ESV_339	0.4739	1
ESV_2	ESV_347	0.4995	1
ESV_2	ESV_379	0.5066	1
ESV_2	ESV_381	0.4252	1
ESV_2	ESV_445	0.5545	1
ESV_2	ESV_447	0.4578	1
ESV_2	ESV_448	0.4887	1
ESV_2	ESV_455	0.4975	1
ESV_2	ESV_459	0.4546	1
ESV_2	ESV_506	0.5954	1
ESV_2	ESV_517	0.4932	1
ESV_2	ESV_532	0.4616	1
ESV_2	ESV_545	0.4564	1
ESV_2	ESV_573	0.4181	1
ESV_2	ESV_603	0.4239	1
ESV_2	ESV_605	0.4518	1
