#Sp1	#Sp2	#Cor	#type
ESV_1	ESV_14	0.4332	1
ESV_1	ESV_99	0.6789	1
ESV_1	ESV_104	0.4906	1
ESV_1	ESV_203	-0.4732	2
ESV_1	ESV_249	-0.5039	2
ESV_1	ESV_261	-0.5099	2
ESV_1	ESV_349	-0.5	2
ESV_1	ESV_609	-0.4962	2
ESV_1	ESV_724	-0.5414	2
ESV_1	ESV_726	-0.6084	2
ESV_1	ESV_1422	0.4977	1
ESV_2	ESV_6	0.6809	1
ESV_2	ESV_11	-0.571	2
ESV_2	ESV_12	-0.5133	2
ESV_2	ESV_14	-0.6368	2
ESV_2	ESV_15	-0.5595	2
ESV_2	ESV_17	-0.6934	2
ESV_2	ESV_18	-0.5599	2
ESV_2	ESV_21	-0.5014	2
ESV_2	ESV_27	-0.6006	2
ESV_2	ESV_29	-0.643	2
ESV_2	ESV_32	-0.7082	2
ESV_2	ESV_34	-0.5701	2
ESV_2	ESV_39	-0.6341	2
ESV_2	ESV_43	-0.462	2
ESV_2	ESV_50	-0.6631	2
ESV_2	ESV_51	0.5876	1
ESV_2	ESV_62	0.7471	1
ESV_2	ESV_66	-0.5871	2
ESV_2	ESV_69	-0.595	2
ESV_2	ESV_71	-0.5984	2
ESV_2	ESV_76	0.5983	1
ESV_2	ESV_79	-0.6355	2
ESV_2	ESV_83	-0.6871	2
ESV_2	ESV_88	-0.7743	2
ESV_2	ESV_95	-0.6539	2
ESV_2	ESV_98	-0.5057	2
ESV_2	ESV_101	0.5431	1
ESV_2	ESV_102	-0.5367	2
ESV_2	ESV_103	-0.642	2
ESV_2	ESV_105	-0.7143	2
ESV_2	ESV_113	0.6279	1
ESV_2	ESV_116	-0.5115	2
ESV_2	ESV_120	0.8203	1
ESV_2	ESV_128	-0.5092	2
ESV_2	ESV_132	0.6973	1
ESV_2	ESV_133	-0.4766	2
ESV_2	ESV_138	-0.5471	2
ESV_2	ESV_144	-0.6468	2
ESV_2	ESV_154	-0.6594	2
ESV_2	ESV_156	-0.6429	2
ESV_2	ESV_161	0.5317	1
ESV_2	ESV_164	0.5333	1
ESV_2	ESV_169	0.7406	1
ESV_2	ESV_171	0.6706	1
ESV_2	ESV_173	0.6675	1
ESV_2	ESV_179	-0.7433	2
ESV_2	ESV_187	-0.6127	2
ESV_2	ESV_192	0.6474	1
ESV_2	ESV_195	0.4856	1
ESV_2	ESV_198	0.5477	1
ESV_2	ESV_203	0.5266	1
ESV_2	ESV_205	0.5808	1
ESV_2	ESV_206	-0.7138	2
ESV_2	ESV_208	0.7239	1
ESV_2	ESV_209	-0.4713	2
ESV_2	ESV_213	-0.7536	2
ESV_2	ESV_219	-0.4789	2
ESV_2	ESV_220	0.4848	1
ESV_2	ESV_229	0.4967	1
ESV_2	ESV_255	0.5331	1
ESV_2	ESV_257	0.5004	1
ESV_2	ESV_260	0.6691	1
ESV_2	ESV_261	0.5013	1
ESV_2	ESV_263	0.6087	1
ESV_2	ESV_265	-0.6498	2
ESV_2	ESV_269	0.7853	1
ESV_2	ESV_272	-0.4975	2
ESV_2	ESV_276	0.5858	1
ESV_2	ESV_279	-0.6466	2
ESV_2	ESV_282	-0.6775	2
ESV_2	ESV_283	-0.4699	2
ESV_2	ESV_293	0.6962	1
ESV_2	ESV_294	-0.5218	2
ESV_2	ESV_303	0.5937	1
ESV_2	ESV_308	0.6381	1
ESV_2	ESV_310	-0.5367	2
ESV_2	ESV_311	0.7735	1
ESV_2	ESV_315	0.6016	1
ESV_2	ESV_320	-0.6407	2
ESV_2	ESV_330	0.4818	1
ESV_2	ESV_333	0.5335	1
ESV_2	ESV_335	0.5908	1
ESV_2	ESV_340	0.6243	1
ESV_2	ESV_341	-0.6904	2
ESV_2	ESV_344	-0.671	2
ESV_2	ESV_347	0.6995	1
ESV_2	ESV_361	0.5626	1
ESV_2	ESV_365	0.5468	1
ESV_2	ESV_371	-0.6433	2
ESV_2	ESV_379	0.4782	1
ESV_2	ESV_384	0.6869	1
