Module	Beads_AgaroseCarrageenan_0_B	Beads_AgaroseCarrageenan_0_C	Beads_AgaroseCarrageenan_0_A	Beads_AgaroseCarrageenan_12_A	Beads_AgaroseCarrageenan_12_B	Beads_AgaroseCarrageenan_12_C	Beads_AgaroseCarrageenan_24_B	Beads_AgaroseCarrageenan_24_A	Beads_AgaroseCarrageenan_36_B	Beads_AgaroseCarrageenan_36_C	Beads_AgaroseCarrageenan_36_A	Beads_AgaroseCarrageenan_48_B	Beads_AgaroseCarrageenan_48_C	Beads_AgaroseCarrageenan_48_A	Beads_AgaroseCarrageenan_60_B	Beads_AgaroseCarrageenan_60_C	Beads_AgaroseCarrageenan_60_A	Beads_AgaroseCarrageenan_72_A	Beads_AgaroseCarrageenan_72_B	Beads_AgaroseCarrageenan_72_C	Beads_AgaroseCarrageenan_84_A	Beads_AgaroseCarrageenan_84_B	Beads_AgaroseCarrageenan_84_C	Beads_AgaroseCarrageenan_108_B	Beads_AgaroseCarrageenan_108_C	Beads_AgaroseCarrageenan_108_A	Beads_AgaroseCarrageenan_132_B	Beads_AgaroseCarrageenan_132_C	Beads_AgaroseCarrageenan_156_B	Beads_AgaroseCarrageenan_156_C	Beads_AgaroseCarrageenan_156_A	Beads_AgaroseCarrageenan_204_A	Beads_AgaroseCarrageenan_204_B	Beads_AgaroseCarrageenan_204_C
mod_1	63	135	497	643	239	773	5320	5674	8494	26767	5067	1130	1646	4052	5219	4735	9116	2180	7692	1490	9537	10381	2306	27116	123155	41585	204692	76655	116678	131591	48387	164593	461331	63931
mod_10	0	0	17	0	0	11	8	15	25	66	30	14	7	17	22	0	31	32	35	0	18	31	0	21	13	15	70	54	42	54	14	69	87	8
mod_102	0	0	12	6	0	0	0	0	188	0	148	6	0	246	106	0	252	0	0	0	168	0	11	43	8	0	493	39	353	500	38	736	1547	22
mod_104	0	0	0	0	0	0	0	48	17	191	172	0	0	223	121	0	212	9	0	19	24	6	0	0	0	0	276	17	0	251	40	283	371	0
mod_105	0	0	27	0	0	14	10	0	43	33	40	23	51	44	80	0	68	96	112	10	0	0	21	24	0	198	937	256	674	1169	286	1863	3183	400
mod_108	0	0	0	0	0	17	25	60	146	333	0	0	9	284	444	174	666	64	343	0	314	77	0	0	273	133	400	161	25	106	0	0	54	0
mod_112	138	5	91	532	75	107	2763	1150	3142	4411	2896	871	734	3776	1716	189	4154	600	1372	33	1340	1935	27	744	109	1629	9428	2051	3693	4767	500	5017	8877	829
mod_117	0	0	0	0	0	0	0	0	24	0	5	0	11	17	0	0	60	5	125	4	134	23	0	51	125	60	399	133	110	154	118	46	87	0
mod_121	0	19	3107	269	97	471	2063	2498	2829	4967	2710	558	181	3785	1112	151	3954	523	515	73	642	1081	0	322	0	395	1302	403	734	826	188	1007	1108	115
mod_123	0	0	0	0	0	0	406	0	346	462	386	132	36	432	345	46	700	0	320	0	297	355	0	103	0	189	1503	422	596	967	0	916	1980	60
