Module	Beads_AgaroseChitosan_0_C	Beads_AgaroseChitosan_0_B	Beads_AgaroseChitosan_0_A	Beads_AgaroseChitosan_12_A	Beads_AgaroseChitosan_12_C	Beads_AgaroseChitosan_12_B	Beads_AgaroseChitosan_24_C	Beads_AgaroseChitosan_24_B	Beads_AgaroseChitosan_24_A	Beads_AgaroseChitosan_36_C	Beads_AgaroseChitosan_36_B	Beads_AgaroseChitosan_36_A	Beads_AgaroseChitosan_48_C	Beads_AgaroseChitosan_48_B	Beads_AgaroseChitosan_48_A	Beads_AgaroseChitosan_60_B	Beads_AgaroseChitosan_60_A	Beads_AgaroseChitosan_72_A	Beads_AgaroseChitosan_72_C	Beads_AgaroseChitosan_72_B	Beads_AgaroseChitosan_84_A	Beads_AgaroseChitosan_84_C	Beads_AgaroseChitosan_84_B	Beads_AgaroseChitosan_108_C	Beads_AgaroseChitosan_108_B	Beads_AgaroseChitosan_108_A	Beads_AgaroseChitosan_132_C	Beads_AgaroseChitosan_132_B	Beads_AgaroseChitosan_132_A	Beads_AgaroseChitosan_156_C	Beads_AgaroseChitosan_156_B	Beads_AgaroseChitosan_156_A	Beads_AgaroseChitosan_204_A	Beads_AgaroseChitosan_204_C	Beads_AgaroseChitosan_204_B
mod_104	8	2	0	650	96	166	363	600	48	1896	812	128	401	2927	6928	8330	13957	2870	5820	3743	1403	1284	2615	1687	5970	922	444	1072	41	53	1080	324	0	0	269
mod_105	0	0	0	11	11	48	41	0	7	59	16	0	22	7	18	718	189	58	98	102	38	65	57	636	1100	218	445	1363	90	16	2308	1863	32	226	3075
mod_106	0	0	0	1314	0	0	251	498	0	1126	386	53	72	1018	1973	2756	2461	435	852	827	206	206	577	725	1754	401	408	1078	45	0	2701	1190	20	59	1717
mod_13	0	0	0	21	37	106	28	1	25	46	13	0	1	27	122	28	235	1	135	6	6	1	31	20	184	44	96	269	69	142	1392	1059	408	474	5223
mod_15	525	627	405	5377	1404	1036	2778	4960	596	10980	3621	947	3568	36120	35606	182482	268291	109550	222991	163756	88108	79134	265555	242121	871526	147305	142725	409116	32783	25730	917408	586401	28393	71298	953636
mod_168	0	0	0	3	1	0	0	0	0	1	1	0	0	0	2	0	3	9	3	1	1	1	1	11	6	13	1	6	1	12	26	8	10	23	30
mod_177	0	0	0	827	313	101	590	597	38	950	394	74	21	524	920	0	1141	35	171	93	29	0	0	15	48	0	28	217	14	0	304	316	14	39	908
mod_18	353566	456	61	1038	10959	299	1369	944	100	1008	502	111	307	387	1020	546	1155	144	343	69	146	150	55	111	233	125	138	162	65	0	281	123	85	128	103
mod_181	0	0	0	477	60	152	320	13	0	384	5	27	0	261	333	15	383	54	198	24	0	0	0	138	69	24	22	0	0	0	51	0	0	0	0
mod_183	114	0	0	1447	444	807	1022	847	153	1494	962	174	244	643	2366	988	3054	300	494	557	134	153	332	516	803	245	297	604	98	60	1924	1195	23	119	1385
mod_19	57	5	0	361	71	78	214	463	14	1644	488	73	387	2889	4885	7460	12475	3902	6536	5680	3247	1883	7109	8515	25039	5319	3897	11330	322	271	10939	9633	100	82	3574
mod_20	0	0	0	12	4	0	27	14	0	9	13	0	0	3	10	4	5	2	28	0	3	0	0	1	1	5	5	0	0	0	4	6	0	0	7
mod_203	0	2	0	23	0	20	33	4	0	0	0	0	7	18	7	4	89	7	34	0	0	33	76	176	174	66	33	385	6	0	531	264	11	34	768
mod_21	0	0	0	22	5	9	9	23	0	33	28	6	1	43	46	58	72	13	26	33	7	22	53	32	56	22	26	42	1	0	188	58	4	6	88
mod_218	0	0	0	0	0	22	54	50	9	207	35	14	58	104	371	358	592	177	240	137	86	60	108	206	576	177	101	295	15	28	669	477	3	22	395
mod_27	0	0	0	0	0	31	17	71	0	253	24	0	32	298	479	331	995	220	236	102	86	104	140	405	782	233	353	733	0	0	2038	1207	25	81	2082
mod_279	0	0	0	350	31	0	0	191	0	248	34	0	0	0	343	283	762	0	0	29	0	39	28	158	103	0	0	278	0	0	548	405	0	0	577
mod_284	45	0	0	181	0	51	0	0	0	439	70	24	0	87	547	433	602	159	294	203	107	62	62	156	432	125	199	654	38	86	2518	2339	211	171	3473
mod_288	0	0	0	339	0	184	147	284	0	395	111	74	0	295	397	86	970	27	226	140	0	0	0	53	0	0	0	0	28	10	498	0	0	0	426
mod_298	0	0	0	94	0	0	523	519	14	385	21	29	11	237	358	0	505	47	17	93	21	11	15	0	230	13	0	13	0	0	51	61	0	0	0
mod_324	0	0	0	0	0	0	0	48	4	124	71	0	26	334	196	329	244	65	195	288	0	24	151	119	219	65	0	0	0	0	0	0	0	0	11
mod_34	0	4	0	23	65	0	23	19	0	166	63	1	10	57	270	416	558	79	286	83	34	64	12	547	910	450	318	809	47	139	1463	772	1	226	1213
mod_353	0	0	0	847	283	448	422	677	0	825	568	42	197	377	1174	710	925	27	0	231	0	0	0	285	371	44	186	260	29	0	750	360	0	0	142
mod_38	0	0	0	45	7	0	78	6	25	402	89	34	75	525	1341	955	2511	736	1540	1046	505	325	1533	699	2987	658	273	323	6	31	277	182	0	6	14
mod_415	0	0	0	116	0	0	0	0	0	55	0	0	0	60	0	149	243	0	0	0	0	0	12	137	108	0	0	285	0	0	831	375	84	151	1189
mod_425	0	0	0	0	0	0	8	4	0	0	10	0	0	48	6	7	16	38	3	0	0	3	37	54	250	135	35	103	0	28	264	505	0	0	314
mod_436	0	0	0	364	183	189	25	24	4	217	0	4	0	41	233	272	399	6	20	0	0	0	0	0	91	28	25	26	0	0	122	0	0	0	0
mod_455	0	0	0	3	1	32	2	6	0	5	1	0	0	2	10	0	7	1	3	1	0	0	1	6	13	0	0	7	0	0	6	2	14	0	7
mod_49	0	18	0	275	6	0	184	197	0	288	107	17	12	169	537	0	1101	167	55	65	160	93	125	526	638	215	487	1417	87	51	6809	3774	404	706	11574
mod_5	358	444	183	19599	4084	6146	33617	46226	2614	82601	35937	4881	7122	63342	131550	104788	248129	43105	76903	62784	40252	28003	61669	112998	324550	61774	97698	269325	20752	20302	741011	488938	16630	31386	447399
mod_53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	153	89	57	136	76	3	144	57	458	30	92	277	17	13	210	227	0	20	0
mod_532	0	0	0	845	340	378	283	502	0	777	191	117	88	428	1291	918	1871	322	395	289	0	0	262	530	797	276	471	633	58	48	2409	1343	61	0	2322
mod_57	31	0	0	3038	505	1196	1689	1894	185	2945	632	12	140	2125	2947	2631	2957	109	353	97	162	0	83	154	555	134	16	365	12	0	991	1209	6	0	1940
mod_6	365	136	194	67536	17553	21733	83277	123987	7332	161310	69864	12658	12484	89100	182635	93525	194140	22249	44944	32999	12451	10848	23750	21667	61302	11937	9951	26365	1755	1264	34626	25724	802	1810	25407
