Module	Beads_Agarose_0_C	Beads_Agarose_0_B	Beads_Agarose_0_A	Beads_Agarose_12_A	Beads_Agarose_12_C	Beads_Agarose_12_B	Beads_Agarose_24_C	Beads_Agarose_24_B	Beads_Agarose_24_A	Beads_Agarose_36_C	Beads_Agarose_36_B	Beads_Agarose_36_A	Beads_Agarose_48_C	Beads_Agarose_48_B	Beads_Agarose_48_A	Beads_Agarose_60_C	Beads_Agarose_60_B	Beads_Agarose_60_A	Beads_Agarose_72_A	Beads_Agarose_72_C	Beads_Agarose_72_B	Beads_Agarose_84_A	Beads_Agarose_84_C	Beads_Agarose_84_B	Beads_Agarose_108_C	Beads_Agarose_108_B	Beads_Agarose_108_A	Beads_Agarose_132_C	Beads_Agarose_132_B	Beads_Agarose_132_A	Beads_Agarose_156_C	Beads_Agarose_156_B	Beads_Agarose_156_A	Beads_Agarose_204_A	Beads_Agarose_204_C	Beads_Agarose_204_B
mod_1	1273	1078	450	3543	247	1490	1252	638	5850	3016	6019	2682	1166	4938	22402	24977	4070	20520	98664	99753	8144	184350	76967	19201	43798	64257	448462	199431	96307	341514	100714	266070	238743	585829	15778	154943
mod_10	0	0	0	0	0	0	0	77	42	229	416	13	80	276	1113	667	88	319	387	509	110	306	0	29	0	0	275	0	0	190	101	95	40	488	0	8
mod_109	1112	517	253	16433	1469	5862	9225	7652	27419	27298	54382	17752	6156	40573	198456	87394	28060	68358	136855	133153	37705	121009	47846	35615	12863	34955	130764	44051	26274	67291	21458	51619	39517	58282	2759	21628
mod_11	237	65	77	172	7	27	12	8	53	67	157	97	0	51	137	100	40	53	666	461	97	1198	230	31	449	505	3537	2638	1582	5831	1858	5375	6522	25826	695	5870
mod_120	0	181	0	0	0	0	6	0	0	0	31	0	0	0	30	0	15	5	42	0	0	69	0	0	3	0	130	5	56	116	14	82	116	607	0	115
mod_141	130	139	0	331	54	0	221	145	245	245	1310	403	127	509	853	159	248	220	770	204	135	401	113	52	54	57	446	196	96	149	106	142	139	251	27	126
mod_147	223	99	51	1547	70	0	150	0	662	620	935	247	0	647	2495	816	302	544	1227	1162	515	984	151	371	0	110	1014	571	272	881	386	569	480	1521	0	316
mod_154	1655	20	211	449	2362	106	4139	36	194	1010	100	31	157	42	189	517	0	69	69	606	26	174	864	325	1324	151	41	934	13	104	1154	0	28	18	569	290
mod_165	92	324	69	35	0	0	0	0	5	12	0	16	0	20	79	0	0	0	192	85	0	203	30	72	12	35	264	28	48	235	112	212	246	1098	7	161
mod_170	44	66	0	126	0	0	67	13	71	0	278	0	6	258	515	427	216	154	840	560	159	733	284	199	123	311	907	557	406	982	331	908	682	2269	44	445
