Module	Beads_Alginate_0_B	Beads_Alginate_0_A	Beads_Alginate_12_A	Beads_Alginate_12_B	Beads_Alginate_24_C	Beads_Alginate_24_B	Beads_Alginate_24_A	Beads_Alginate_36_C	Beads_Alginate_36_B	Beads_Alginate_36_A	Beads_Alginate_48_C	Beads_Alginate_48_B	Beads_Alginate_48_A	Beads_Alginate_60_B	Beads_Alginate_60_A	Beads_Alginate_72_A	Beads_Alginate_72_C	Beads_Alginate_72_B	Beads_Alginate_84_A	Beads_Alginate_84_C	Beads_Alginate_84_B	Beads_Alginate_108_C	Beads_Alginate_108_B	Beads_Alginate_108_A	Beads_Alginate_132_C	Beads_Alginate_132_B	Beads_Alginate_132_A	Beads_Alginate_156_C	Beads_Alginate_156_B	Beads_Alginate_156_A	Beads_Alginate_204_A	Beads_Alginate_204_C	Beads_Alginate_204_B
mod_1	0	0	0	0	0	0	34	0	28	17	0	0	0	13	41	60	200	273	239	9	108	204	3323	1458	4399	627	599	1427	802	1607	628	2871	2493
mod_102	0	16	44	12	0	0	20	4	24	10	14	9	0	0	88	179	48	0	107	79	14	214	15	709	1200	110	168	663	76	191	481	1552	1197
mod_112	0	0	0	0	6	6	0	0	24	10	0	71	342	29	365	156	0	0	223	498	257	29	683	667	349	125	0	0	0	83	0	0	5
mod_115	0	0	0	0	14	0	0	0	0	0	0	63	0	0	54	0	0	6	46	170	116	0	1149	438	508	515	61	39	373	21	38	226	537
mod_119	0	0	23	0	0	7	25	4	24	0	47	0	139	6	79	17	0	0	0	0	19	0	16	70	352	95	0	153	136	0	168	819	765
mod_122	250	83	432	37	1243	407	547	2665	3162	4539	5374	3102	10221	778	7546	6555	1793	3640	2822	5351	1781	509	2187	3641	1638	424	129	112	125	67	36	18	323
mod_13	84	193	1941	161	3117	1185	1812	5950	5713	9577	7992	5280	20092	2457	24759	35660	10867	19520	42907	46030	25069	13007	84804	144800	169685	49355	20843	31256	26254	27171	34985	69969	85034
mod_131	461	58	0	35	0	0	0	28	0	133	79	124	137	9	23	31	0	15	59	19	0	0	210	109	65	8	0	44	0	0	18	12	0
mod_145	219	386	181	49	123	106	185	353	359	939	412	262	1791	107	1586	643	162	257	729	763	381	190	1473	3597	6109	1106	449	677	724	986	1853	3038	5288
mod_148	40	63	39116	1206	30832	7256	10845	21490	21541	31583	16203	8240	35510	1966	17914	16612	3158	5441	7156	12761	3862	2576	14870	21715	25915	6905	2471	4158	3144	2447	3135	6390	8237
mod_15	23	25	39	0	46	0	47	43	108	193	64	16	753	0	98	16	74	35	36	11	95	46	268	337	3896	1181	254	1479	1430	341	2736	7187	8404
mod_156	33673	19453	18119	12506	6538	5654	4981	7438	9331	8824	6346	7024	8909	12712	4826	8917	16695	12417	3430	8501	8451	14877	16899	12319	5916	5519	9074	8377	4431	8609	7896	5620	16382
mod_157	373	273	542	0	312	140	244	775	360	929	1161	300	1896	135	1272	354	73	251	481	566	203	0	397	891	1972	155	0	192	93	8	333	631	994
mod_207	53	8	10	29	891	191	370	2438	1882	3397	3210	1764	6367	773	5999	6220	2554	4132	4212	8411	4185	1310	6967	14227	7722	2566	989	997	984	1107	608	1327	1190
mod_264	236	8	0	0	7	0	25	0	20	17	61	0	215	5	110	62	0	47	43	25	24	0	29	76	1016	147	31	223	186	130	602	761	1099
