Module	Beads_Chitin_0_C	Beads_Chitin_0_A	Beads_Chitin_12_B	Beads_Chitin_12_A	Beads_Chitin_12_C	Beads_Chitin_24_C	Beads_Chitin_24_B	Beads_Chitin_24_A	Beads_Chitin_36_C	Beads_Chitin_36_B	Beads_Chitin_36_A	Beads_Chitin_48_C	Beads_Chitin_48_B	Beads_Chitin_48_A	Beads_Chitin_60_C	Beads_Chitin_60_A	Beads_Chitin_72_C	Beads_Chitin_72_A	Beads_Chitin_84_B	Beads_Chitin_84_C	Beads_Chitin_108_C	Beads_Chitin_108_A	Beads_Chitin_132_C	Beads_Chitin_132_B	Beads_Chitin_132_A	Beads_Chitin_156_C	Beads_Chitin_156_A	Beads_Chitin_204_B	Beads_Chitin_204_A
mod_101	0	555	934	0	22	0	0	0	175	0	27	51	0	10	0	208	0	158	168	422	41	0	0	0	202	0	190	23	380
mod_102	0	1845	3031	40	24	34	1019	0	228	59	57	80	125	25	3	475	22	2373	1829	4063	1103	1480	1503	185	3120	37	1959	1164	6382
mod_113	0	477	443	0	54	0	12	0	144	0	0	206	15	0	0	4	0	167	113	315	0	112	0	23	296	0	427	0	606
mod_126	0	902	1748	8	228	0	582	0	630	399	482	387	89	148	0	918	0	2286	1125	2689	586	1918	587	0	3122	27	1346	508	3130
mod_127	0	162	2670	24	59	88	1433	39	3366	704	1260	1965	432	591	233	2888	569	10169	4124	15278	3406	7324	2404	473	6784	221	4398	993	7661
mod_128	0	17	8	0	0	4	0	0	580	50	22	670	0	16	0	126	196	837	184	4079	879	496	397	14	1174	57	408	16	711
mod_14	0	471	747	0	0	16	391	0	331	217	300	246	0	128	0	416	0	635	475	1289	263	347	225	96	1021	0	413	179	1248
mod_15	0	8296	30704	1544	5618	2317	30875	907	53223	12415	60416	20632	4670	17568	465	67005	1313	151725	13563	28491	5504	40344	3027	538	55202	206	23568	1219	45191
mod_151	0	0	137	0	0	0	11	0	75	151	49	41	18	0	0	72	17	104	290	463	405	575	339	233	643	14	273	321	1301
mod_155	0	483	386	0	60	0	254	0	243	108	157	15	84	95	14	308	61	614	383	821	176	223	298	146	623	0	309	247	1225
mod_166	0	17102	1119	60	338	47	793	103	1108	283	945	51	105	243	0	701	4	1511	456	641	85	504	11	0	1068	0	613	0	612
mod_167	0	3401	5271	112	31	31	3423	26	2749	1662	1654	1305	927	787	25	3408	647	8084	5337	16283	3203	4823	3247	1006	9684	333	4341	1754	13111
mod_170	0	943	395	0	0	0	396	0	532	293	282	344	113	41	0	329	0	466	306	545	143	293	187	0	606	0	300	141	634
mod_172	0	1425	1451	0	72	35	496	0	496	315	342	297	140	237	13	457	25	664	488	1489	280	346	384	166	930	85	507	322	1368
mod_176	0	14	16	23	17	0	19	0	12	4	6	6	2	5	0	29	0	40	13	54	5	38	19	24	44	0	23	23	58
mod_181	0	10739	3318	59	926	0	1431	28	1968	1130	1559	816	164	381	24	1676	0	2349	1174	3032	568	558	230	0	1452	13	744	40	1709
mod_187	0	164	177	0	9	0	187	0	86	69	12	4	0	0	0	126	0	301	222	770	178	267	229	44	693	0	348	188	1602
mod_2	393	32831	83717	3257	15718	5871	204801	1567	527575	174930	112821	144812	23059	19326	2209	47900	1064	102599	10505	22345	3858	6177	1474	228	8154	180	3015	737	4370
mod_202	36	464	182	0	20	35	120	0	39	121	65	17	21	0	0	23	0	63	0	31	0	22	0	0	39	3	25	0	113
mod_210	12	333	485	0	0	0	235	0	188	123	191	0	0	0	0	138	6	227	180	578	100	103	0	6	185	0	159	84	464
mod_213	0	268	293	0	0	0	0	0	407	0	0	0	0	0	0	95	0	324	237	295	31	236	0	0	320	0	0	26	459
mod_217	0	371	1177	37	12	0	447	0	293	0	221	0	0	0	0	781	0	1151	507	1489	349	525	107	0	1224	53	624	64	1397
mod_219	0	707	869	22	0	0	366	25	540	299	348	361	96	20	5	969	20	614	384	922	72	219	0	0	679	0	165	0	346
mod_22	45921	8439	16932	20444	17670	224	14378	164	9561	1441	8378	30337	1357	452	403	4452	794	6499	10325	8228	2591	4259	1671	288	2136	142	2456	1193	2950
mod_231	0	0	8	0	0	0	0	0	7	16	46	23	0	27	0	334	8	235	220	318	112	131	0	0	182	7	155	0	62
mod_242	0	4006	1835	112	161	8	682	0	753	577	350	416	269	197	151	776	220	2187	1211	2124	438	1995	594	251	1794	55	722	293	2521
mod_246	0	0	41	0	99	7	0	0	0	29	22	280	64	14	0	556	12	2347	628	911	180	1731	265	15	2624	0	1412	238	4189
mod_260	0	1773	1082	97	313	0	511	15	1618	856	629	596	161	196	0	804	0	1300	875	1947	385	500	349	129	1153	0	497	263	1233
mod_275	0	175	404	0	0	0	263	0	33	49	52	0	65	0	0	0	0	217	154	851	174	116	127	4	340	0	151	64	606
mod_302	0	26	38	0	1	0	5	0	12	10	12	34	12	2	0	39	0	21	26	13	3	4	10	0	10	0	1	0	7
mod_33	0	462	522	0	100	0	361	0	481	0	505	481	0	0	0	591	0	1014	678	1612	304	378	252	0	826	0	392	16	1032
mod_348	0	117	387	0	0	0	240	0	273	115	200	199	103	46	0	264	0	234	87	242	29	11	9	0	158	0	86	0	165
mod_37	0	215	3220	74	608	167	4344	29	40468	11658	4718	17967	6843	1690	674	7589	1212	18849	9443	30953	5435	5755	1830	395	5763	166	2290	486	2962
mod_38	0	1407	2234	0	199	0	1470	0	2838	779	1619	1112	271	513	0	3519	74	8787	1682	3656	747	3635	607	28	5858	0	1800	0	4872
mod_4	0	132	0	0	0	0	0	0	20	10	20	9	0	24	0	153	0	340	103	480	59	161	33	0	391	0	229	70	417
mod_403	0	503	5829	11	802	262	3581	86	8385	2008	6802	4401	1160	3410	247	9391	899	20561	7263	21198	3896	6444	2220	589	8719	154	3231	975	7399
mod_41	28	728	4614	386	1289	1306	53393	333	393227	80923	45807	100624	17209	11193	1568	26619	2940	98056	13503	32575	6069	20911	2018	512	12299	155	5799	1030	5026
mod_42	0	1615	2624	33	86	0	626	0	1741	579	528	0	167	42	0	693	0	957	834	2115	458	537	444	0	1199	0	677	339	1601
mod_44	0	0	8	12	0	2	86	0	140	88	62	318	42	0	0	0	0	177	4	37	22	59	3	0	44	0	11	0	0
mod_47	0	0	9	0	0	0	8	0	0	27	31	5	12	0	0	25	0	156	123	88	6	162	150	0	261	12	183	243	1016
mod_49	0	611	1179	25	0	49	551	0	253	242	232	216	0	0	21	1179	40	639	504	1312	348	495	361	179	990	0	490	367	1643
mod_53	15	0	36	64	19	55	237	50	4507	1401	249	9416	3160	300	258	2695	5845	18622	33488	102280	22303	35802	5901	445	28765	560	12169	1788	9142
mod_57	0	48	175	0	0	0	62	0	0	7	7	155	11	0	0	233	22	601	446	959	279	331	265	96	645	27	373	0	946
mod_58	0	12334	30945	533	3348	614	11470	65	15994	6420	9841	5453	2742	3333	133	13808	1856	28456	13867	34773	6417	11799	5193	1294	24098	214	8817	2395	19992
mod_596	0	117	166	0	0	0	54	0	0	14	0	0	0	0	0	0	2	26	41	140	128	0	22	28	75	0	88	51	327
mod_6	0	525	432	33	26	0	139	0	38	10	17	0	59	2	0	19	0	498	141	995	240	512	458	127	999	16	406	429	3120
mod_60	0	59	10	0	7	0	63	0	991	455	178	3382	431	243	22	1489	432	7332	2229	5950	1626	1025	59	7	450	0	125	7	96
mod_64	0	447	812	29	0	19	1172	0	1663	652	580	388	364	723	116	3452	781	7585	9818	34807	6650	11746	5699	1004	15424	299	5578	1919	16428
mod_66	0	351	473	0	0	16	374	3	82	172	164	0	162	39	0	187	26	645	448	1126	292	446	605	260	902	26	390	513	2873
mod_70	304	6692	5714	362	857	342	1595	266	1378	971	697	424	210	16	184	257	0	369	318	785	608	113	165	0	110	0	175	0	121
mod_75	0	0	24	0	30	0	36	0	16	16	0	0	0	12	0	48	0	26	74	497	140	130	47	73	282	29	95	140	708
mod_82	0	191	321	0	0	0	0	0	23	9	0	22	0	0	0	0	0	169	137	276	27	88	178	47	224	0	23	136	414
mod_9	55	4976	2433	287	413	93	2793	100	3399	1237	1902	3274	1407	786	195	6011	3711	45393	38023	96512	24833	68350	31345	6476	128100	3240	58855	16206	154891
mod_90	0	8	0	0	0	0	63	0	15	57	137	0	0	18	0	561	43	659	478	1857	421	410	118	0	743	29	453	0	393
mod_92	0	2758	1860	92	237	10	647	6	1212	470	557	380	29	122	0	979	13	909	297	634	0	262	17	28	469	0	7	42	258
mod_96	0	11	38	0	2	0	5	0	11	1	7	3	2	1	0	13	0	13	6	10	4	5	3	0	12	0	3	0	5
