Sp1	Sp2	Cor
ESV_1	ESV_2	0.6184
ESV_1	ESV_6	0.3884
ESV_1	ESV_20	0.4144
ESV_1	ESV_22	0.4388
ESV_1	ESV_23	0.4722
ESV_1	ESV_25	-0.4569
ESV_1	ESV_28	0.5038
ESV_1	ESV_30	0.4899
ESV_1	ESV_32	-0.4868
ESV_1	ESV_36	0.5215
ESV_1	ESV_40	0.4835
ESV_1	ESV_43	-0.4706
ESV_1	ESV_45	0.5141
ESV_1	ESV_50	-0.4676
ESV_1	ESV_51	0.4125
ESV_1	ESV_52	0.5751
ESV_1	ESV_53	0.6121
ESV_1	ESV_54	-0.4422
ESV_1	ESV_56	0.5165
ESV_1	ESV_62	0.5559
ESV_1	ESV_71	0.483
ESV_1	ESV_76	0.4482
ESV_1	ESV_78	0.5428
ESV_1	ESV_80	0.469
ESV_1	ESV_83	-0.4376
ESV_1	ESV_84	-0.4891
ESV_1	ESV_85	0.7204
ESV_1	ESV_88	-0.4742
ESV_1	ESV_94	0.5573
ESV_1	ESV_101	0.587
ESV_1	ESV_103	-0.6252
ESV_1	ESV_105	-0.4796
ESV_1	ESV_106	0.5936
ESV_1	ESV_108	0.422
ESV_1	ESV_109	-0.4317
ESV_1	ESV_118	-0.4506
ESV_1	ESV_132	0.4837
ESV_1	ESV_134	0.488
ESV_1	ESV_136	0.5947
ESV_1	ESV_171	0.4982
ESV_1	ESV_173	0.5113
ESV_1	ESV_175	0.5121
ESV_1	ESV_182	0.4968
ESV_1	ESV_183	0.5151
ESV_1	ESV_185	0.48
ESV_1	ESV_188	0.4157
ESV_1	ESV_189	-0.5088
ESV_1	ESV_190	0.4513
ESV_1	ESV_191	-0.4993
ESV_1	ESV_195	0.4675
ESV_1	ESV_205	0.569
ESV_1	ESV_206	-0.5518
ESV_1	ESV_220	0.5662
ESV_1	ESV_230	0.5386
ESV_1	ESV_241	0.44
ESV_1	ESV_245	0.4607
ESV_1	ESV_251	0.5461
ESV_1	ESV_260	0.4999
ESV_1	ESV_265	-0.454
ESV_1	ESV_266	0.4089
ESV_1	ESV_269	0.4516
ESV_1	ESV_276	0.4725
ESV_1	ESV_277	0.4206
ESV_1	ESV_293	0.4235
ESV_1	ESV_299	0.5099
ESV_1	ESV_306	-0.4207
ESV_1	ESV_308	0.5142
ESV_1	ESV_309	0.4354
ESV_1	ESV_325	0.5302
ESV_1	ESV_331	-0.4143
ESV_1	ESV_335	0.6026
ESV_1	ESV_345	0.594
ESV_1	ESV_352	-0.5701
ESV_1	ESV_353	-0.5255
ESV_1	ESV_359	-0.4295
ESV_1	ESV_363	0.5829
ESV_1	ESV_367	-0.4251
ESV_1	ESV_379	0.4124
ESV_1	ESV_380	-0.5659
ESV_1	ESV_382	0.5421
ESV_1	ESV_389	0.4547
ESV_1	ESV_401	-0.5442
ESV_1	ESV_436	-0.5726
ESV_1	ESV_439	-0.4331
ESV_1	ESV_440	-0.435
ESV_1	ESV_455	0.562
ESV_1	ESV_459	0.568
ESV_1	ESV_464	0.526
ESV_1	ESV_470	-0.4899
ESV_1	ESV_497	-0.5361
ESV_1	ESV_505	0.3942
ESV_1	ESV_515	-0.5165
ESV_1	ESV_519	0.6241
ESV_1	ESV_520	0.4431
ESV_1	ESV_521	0.4615
ESV_1	ESV_538	0.4081
ESV_1	ESV_549	-0.5423
ESV_1	ESV_561	0.39
ESV_1	ESV_609	-0.6033
ESV_1	ESV_613	-0.4765
ESV_1	ESV_616	0.5118
ESV_1	ESV_637	0.42
ESV_1	ESV_644	0.5238
ESV_1	ESV_653	0.4889
ESV_1	ESV_656	-0.5425
ESV_1	ESV_670	0.5355
ESV_1	ESV_702	-0.4062
ESV_1	ESV_720	-0.5431
ESV_1	ESV_727	0.5208
ESV_1	ESV_734	-0.4316
ESV_1	ESV_739	-0.4758
ESV_1	ESV_743	0.4172
ESV_1	ESV_758	0.5532
ESV_1	ESV_792	-0.4227
ESV_1	ESV_800	-0.4712
ESV_1	ESV_801	0.5951
ESV_1	ESV_822	0.3839
ESV_1	ESV_840	-0.4095
ESV_1	ESV_848	0.4492
ESV_1	ESV_872	-0.4374
ESV_1	ESV_873	-0.4468
ESV_1	ESV_881	0.4962
ESV_1	ESV_890	-0.5018
ESV_1	ESV_899	-0.4704
ESV_1	ESV_927	-0.391
ESV_1	ESV_932	0.5948
ESV_1	ESV_946	-0.5056
ESV_1	ESV_959	0.5014
ESV_1	ESV_967	-0.4134
ESV_1	ESV_987	0.4054
ESV_1	ESV_1005	0.5376
ESV_1	ESV_1036	0.5647
ESV_1	ESV_1041	0.5836
ESV_1	ESV_1072	0.4717
ESV_1	ESV_1093	0.4358
ESV_1	ESV_1134	-0.4189
ESV_1	ESV_1154	-0.4163
ESV_1	ESV_1155	0.4245
ESV_1	ESV_1170	-0.4764
ESV_1	ESV_1222	-0.4698
ESV_1	ESV_1231	0.4679
ESV_1	ESV_1259	0.5428
ESV_1	ESV_1261	-0.4573
ESV_1	ESV_1292	0.3753
ESV_1	ESV_1309	-0.4624
ESV_1	ESV_1344	-0.3833
ESV_1	ESV_1357	-0.3883
ESV_1	ESV_1380	-0.4373
ESV_1	ESV_1434	-0.4625
ESV_1	ESV_1449	-0.4558
ESV_1	ESV_1534	0.4716
ESV_1	ESV_1537	-0.4011
ESV_1	ESV_1631	-0.4064
ESV_1	ESV_1632	0.4292
ESV_1	ESV_1689	0.4573
ESV_1	ESV_1694	-0.54
ESV_1	ESV_1820	-0.3657
ESV_1	ESV_1894	-0.5232
ESV_1	ESV_1914	0.4739
ESV_1	ESV_2147	-0.4331
ESV_1	ESV_2614	0.5794
ESV_1	ESV_3625	0.429
ESV_1	ESV_4781	-0.3616
ESV_2	ESV_3	-0.5394
ESV_2	ESV_11	-0.4091
ESV_2	ESV_12	-0.5471
ESV_2	ESV_15	-0.3889
ESV_2	ESV_17	-0.5427
ESV_2	ESV_20	0.4392
ESV_2	ESV_22	0.8218
ESV_2	ESV_23	0.7147
ESV_2	ESV_24	-0.6453
ESV_2	ESV_25	-0.5983
ESV_2	ESV_27	-0.6294
