Sp1	Sp2	Cor
ESV_1	ESV_13	0.4815
ESV_1	ESV_20	0.5906
ESV_1	ESV_30	0.4376
ESV_1	ESV_32	-0.472
ESV_1	ESV_33	-0.5499
ESV_1	ESV_43	-0.5138
ESV_1	ESV_48	0.4925
ESV_1	ESV_50	-0.5661
ESV_1	ESV_62	0.5721
ESV_1	ESV_69	-0.4867
ESV_1	ESV_78	0.4879
ESV_1	ESV_85	0.4712
ESV_1	ESV_88	-0.4687
ESV_1	ESV_91	-0.469
ESV_1	ESV_102	-0.517
ESV_1	ESV_105	-0.5474
ESV_1	ESV_106	0.5031
ESV_1	ESV_109	-0.4444
ESV_1	ESV_110	-0.4324
ESV_1	ESV_126	-0.5869
ESV_1	ESV_134	0.4113
ESV_1	ESV_136	0.5891
ESV_1	ESV_137	0.4121
ESV_1	ESV_149	-0.4212
ESV_1	ESV_159	0.4612
ESV_1	ESV_180	-0.3999
ESV_1	ESV_182	0.605
ESV_1	ESV_183	0.4332
ESV_1	ESV_185	0.522
ESV_1	ESV_188	0.4314
ESV_1	ESV_191	-0.4858
ESV_1	ESV_203	0.5273
ESV_1	ESV_206	-0.5081
ESV_1	ESV_213	-0.454
ESV_1	ESV_218	0.4242
ESV_1	ESV_220	0.4962
ESV_1	ESV_251	0.4536
ESV_1	ESV_265	-0.5382
ESV_1	ESV_266	0.5361
ESV_1	ESV_269	0.4921
ESV_1	ESV_274	0.4734
ESV_1	ESV_279	-0.5155
ESV_1	ESV_296	0.4239
ESV_1	ESV_301	-0.4992
ESV_1	ESV_303	0.4259
ESV_1	ESV_315	0.4215
ESV_1	ESV_316	0.5564
ESV_1	ESV_323	-0.4568
ESV_1	ESV_325	0.6371
ESV_1	ESV_328	0.5306
ESV_1	ESV_331	-0.4075
ESV_1	ESV_335	0.6117
ESV_1	ESV_340	0.5098
ESV_1	ESV_341	-0.4795
ESV_1	ESV_347	0.4856
ESV_1	ESV_349	-0.4081
ESV_1	ESV_361	0.5266
ESV_1	ESV_363	0.5721
ESV_1	ESV_379	0.5046
ESV_1	ESV_381	0.4618
ESV_1	ESV_382	0.5146
ESV_1	ESV_395	-0.4135
ESV_1	ESV_445	0.4841
ESV_1	ESV_447	0.5753
ESV_1	ESV_455	0.6053
ESV_1	ESV_463	0.5931
ESV_1	ESV_466	0.4376
ESV_1	ESV_479	-0.4883
ESV_1	ESV_481	0.519
ESV_1	ESV_482	-0.4248
ESV_1	ESV_505	0.5191
ESV_1	ESV_513	0.4901
ESV_1	ESV_520	0.4604
ESV_1	ESV_521	0.4449
ESV_1	ESV_532	0.3866
ESV_1	ESV_540	-0.4394
ESV_1	ESV_565	-0.4231
ESV_1	ESV_592	-0.482
ESV_1	ESV_616	0.402
ESV_1	ESV_619	0.6991
ESV_1	ESV_621	0.4175
ESV_1	ESV_631	0.4287
ESV_1	ESV_669	-0.4106
ESV_1	ESV_688	-0.397
ESV_1	ESV_706	-0.4306
ESV_1	ESV_708	0.4233
ESV_1	ESV_733	-0.4344
ESV_1	ESV_741	-0.5015
ESV_1	ESV_750	-0.4932
ESV_1	ESV_784	-0.4178
ESV_1	ESV_810	0.4444
ESV_1	ESV_820	-0.5125
ESV_1	ESV_829	-0.4431
ESV_1	ESV_831	-0.4525
ESV_1	ESV_890	-0.5029
ESV_1	ESV_891	0.4406
ESV_1	ESV_906	-0.4006
ESV_1	ESV_908	-0.4612
ESV_1	ESV_950	-0.4785
ESV_1	ESV_959	0.4992
ESV_1	ESV_1016	0.4076
ESV_1	ESV_1039	-0.5155
ESV_1	ESV_1041	0.4735
ESV_1	ESV_1079	-0.5178
ESV_1	ESV_1093	0.3942
ESV_1	ESV_1097	-0.4197
ESV_1	ESV_1098	0.425
ESV_1	ESV_1154	-0.6026
ESV_1	ESV_1169	-0.4873
ESV_1	ESV_1220	-0.4497
ESV_1	ESV_1221	-0.4629
ESV_1	ESV_1275	0.4556
ESV_1	ESV_1287	-0.5233
ESV_1	ESV_1298	0.4211
ESV_1	ESV_1357	-0.481
ESV_1	ESV_1362	-0.4991
ESV_1	ESV_1398	-0.4701
ESV_1	ESV_1399	-0.4296
ESV_1	ESV_1434	-0.4097
ESV_1	ESV_1530	-0.5519
ESV_1	ESV_1598	0.4145
ESV_1	ESV_1682	0.5025
ESV_1	ESV_1751	-0.4481
ESV_1	ESV_1911	-0.4346
ESV_1	ESV_1939	-0.5087
ESV_1	ESV_1946	-0.453
ESV_1	ESV_1990	0.4046
ESV_1	ESV_2144	-0.4391
ESV_1	ESV_2238	-0.4203
ESV_1	ESV_2289	-0.4876
ESV_1	ESV_2296	-0.4822
ESV_1	ESV_2348	-0.4231
ESV_1	ESV_2408	-0.5062
ESV_1	ESV_2516	-0.3707
ESV_1	ESV_2717	-0.4832
ESV_1	ESV_2834	-0.3769
ESV_1	ESV_3224	-0.3713
ESV_1	ESV_3540	-0.4627
ESV_1	ESV_4781	-0.3375
ESV_1	ESV_4828	-0.4531
ESV_1	ESV_5323	-0.3697
ESV_1	ESV_5970	-0.3854
ESV_1	ESV_6165	-0.3715
ESV_2	ESV_7	-0.5024
ESV_2	ESV_11	-0.6182
ESV_2	ESV_16	0.4465
ESV_2	ESV_18	-0.465
ESV_2	ESV_20	0.4494
ESV_2	ESV_22	0.8119
ESV_2	ESV_23	0.7113
ESV_2	ESV_27	-0.6847
ESV_2	ESV_28	0.7237
ESV_2	ESV_29	-0.742
ESV_2	ESV_30	0.7175
ESV_2	ESV_32	-0.7619
ESV_2	ESV_33	-0.4588
ESV_2	ESV_36	0.7549
ESV_2	ESV_38	-0.7818
ESV_2	ESV_39	-0.524
ESV_2	ESV_40	0.6606
ESV_2	ESV_41	-0.6007
ESV_2	ESV_43	-0.5893
ESV_2	ESV_47	-0.6842
ESV_2	ESV_50	-0.7046
ESV_2	ESV_51	0.6997
ESV_2	ESV_52	0.64
ESV_2	ESV_53	0.7495
ESV_2	ESV_55	-0.5487
ESV_2	ESV_56	0.7083
ESV_2	ESV_62	0.7839
ESV_2	ESV_63	-0.5747
ESV_2	ESV_66	-0.5551
ESV_2	ESV_69	-0.5531
ESV_2	ESV_71	0.4856
ESV_2	ESV_75	-0.6728
ESV_2	ESV_76	0.5801
ESV_2	ESV_78	0.523
ESV_2	ESV_80	0.6146
ESV_2	ESV_82	-0.6173
ESV_2	ESV_83	-0.5689
ESV_2	ESV_85	0.5388
ESV_2	ESV_88	-0.6889
ESV_2	ESV_91	-0.7057
ESV_2	ESV_92	-0.7088
ESV_2	ESV_95	-0.4025
ESV_2	ESV_96	-0.6808
ESV_2	ESV_101	0.65
ESV_2	ESV_102	-0.5012
ESV_2	ESV_103	-0.5677
ESV_2	ESV_105	-0.7275
ESV_2	ESV_106	0.7433
ESV_2	ESV_108	0.4783
ESV_2	ESV_110	-0.5526
ESV_2	ESV_113	0.5314
ESV_2	ESV_118	-0.5037
ESV_2	ESV_126	-0.6736
ESV_2	ESV_128	-0.4329
ESV_2	ESV_132	0.8128
ESV_2	ESV_134	0.6214
ESV_2	ESV_136	0.569
ESV_2	ESV_137	0.4843
ESV_2	ESV_143	-0.542
ESV_2	ESV_145	0.6708
ESV_2	ESV_160	0.4851
ESV_2	ESV_161	0.6554
ESV_2	ESV_162	-0.6436
ESV_2	ESV_163	-0.7294
ESV_2	ESV_169	0.6069
ESV_2	ESV_171	0.6434
ESV_2	ESV_172	0.4816
ESV_2	ESV_173	0.7336
ESV_2	ESV_175	0.8215
ESV_2	ESV_182	0.6316
ESV_2	ESV_183	0.4482
ESV_2	ESV_188	0.4675
ESV_2	ESV_191	-0.5991
ESV_2	ESV_192	0.6498
ESV_2	ESV_201	-0.4415
ESV_2	ESV_203	0.5435
ESV_2	ESV_204	0.4436
ESV_2	ESV_205	0.5691
ESV_2	ESV_206	-0.7162
ESV_2	ESV_208	0.7669
ESV_2	ESV_209	-0.6731
ESV_2	ESV_212	-0.636
ESV_2	ESV_213	-0.532
ESV_2	ESV_220	0.5651
ESV_2	ESV_222	-0.6399
ESV_2	ESV_225	-0.478
ESV_2	ESV_228	-0.6907
ESV_2	ESV_229	0.728
ESV_2	ESV_230	0.8379
ESV_2	ESV_239	-0.7201
ESV_2	ESV_241	0.8271
ESV_2	ESV_248	0.4762
ESV_2	ESV_251	0.8966
ESV_2	ESV_252	0.6686
ESV_2	ESV_255	0.4759
ESV_2	ESV_256	0.4566
ESV_2	ESV_257	0.4417
ESV_2	ESV_260	0.5813
ESV_2	ESV_261	0.5514
ESV_2	ESV_263	0.5929
ESV_2	ESV_265	-0.7167
ESV_2	ESV_266	0.5457
ESV_2	ESV_269	0.7326
ESV_2	ESV_271	-0.6374
ESV_2	ESV_272	0.4897
ESV_2	ESV_276	0.5192
ESV_2	ESV_277	0.4855
ESV_2	ESV_279	-0.5211
ESV_2	ESV_288	0.4708
ESV_2	ESV_293	0.6693
ESV_2	ESV_294	-0.5324
ESV_2	ESV_296	0.589
ESV_2	ESV_298	-0.5721
ESV_2	ESV_299	0.6734
ESV_2	ESV_301	-0.4547
ESV_2	ESV_303	0.5007
ESV_2	ESV_309	0.463
ESV_2	ESV_311	0.6083
ESV_2	ESV_312	-0.609
ESV_2	ESV_315	0.6525
ESV_2	ESV_319	0.4417
ESV_2	ESV_320	-0.5545
ESV_2	ESV_321	-0.4359
ESV_2	ESV_325	0.6333
ESV_2	ESV_328	0.563
ESV_2	ESV_330	0.5255
ESV_2	ESV_335	0.7569
ESV_2	ESV_338	-0.5134
ESV_2	ESV_340	0.7196
ESV_2	ESV_341	-0.6216
ESV_2	ESV_344	-0.5994
ESV_2	ESV_347	0.441
ESV_2	ESV_353	-0.4523
ESV_2	ESV_359	-0.701
ESV_2	ESV_361	0.6482
ESV_2	ESV_363	0.4525
ESV_2	ESV_375	-0.5719
ESV_2	ESV_379	0.7687
ESV_2	ESV_381	0.5499
ESV_2	ESV_387	-0.4294
ESV_2	ESV_389	0.6667
ESV_2	ESV_391	-0.5245
ESV_2	ESV_394	-0.678
ESV_2	ESV_395	-0.7785
ESV_2	ESV_399	0.6715
ESV_2	ESV_408	0.4969
ESV_2	ESV_424	-0.4629
ESV_2	ESV_434	0.5564
ESV_2	ESV_437	0.4808
ESV_2	ESV_441	0.5393
ESV_2	ESV_445	0.7537
ESV_2	ESV_446	-0.5614
ESV_2	ESV_447	0.7398
ESV_2	ESV_448	0.8068
ESV_2	ESV_449	0.4922
ESV_2	ESV_455	0.6547
ESV_2	ESV_457	0.5405
ESV_2	ESV_459	0.5747
ESV_2	ESV_463	0.5962
ESV_2	ESV_467	0.5437
ESV_2	ESV_473	0.6306
ESV_2	ESV_476	-0.4317
ESV_2	ESV_479	-0.5462
ESV_2	ESV_481	0.6951
ESV_2	ESV_482	-0.6967
ESV_2	ESV_490	0.5776
ESV_2	ESV_499	0.5006
ESV_2	ESV_503	-0.595
ESV_2	ESV_505	0.4737
ESV_2	ESV_509	0.5827
ESV_2	ESV_513	0.4454
ESV_2	ESV_517	0.583
ESV_2	ESV_518	0.5608
ESV_2	ESV_520	0.5247
ESV_2	ESV_529	0.5246
ESV_2	ESV_531	0.566
ESV_2	ESV_532	0.5458
ESV_2	ESV_542	-0.4381
ESV_2	ESV_552	-0.5314
ESV_2	ESV_553	0.5605
ESV_2	ESV_563	0.5986
ESV_2	ESV_565	-0.4206
ESV_2	ESV_571	0.6151
ESV_2	ESV_572	-0.4532
ESV_2	ESV_574	0.5712
ESV_2	ESV_582	0.4818
ESV_2	ESV_592	-0.4623
ESV_2	ESV_593	-0.4584
ESV_2	ESV_596	-0.4571
ESV_2	ESV_598	0.589
ESV_2	ESV_602	-0.6561
ESV_2	ESV_603	0.7997
ESV_2	ESV_605	0.5673
ESV_2	ESV_619	0.4372
ESV_2	ESV_620	-0.4963
ESV_2	ESV_625	0.5544
ESV_2	ESV_629	-0.5123
ESV_2	ESV_644	0.7871
ESV_2	ESV_648	-0.5318
ESV_2	ESV_650	0.8332
ESV_2	ESV_653	0.6035
ESV_2	ESV_654	-0.5375
ESV_2	ESV_661	0.5874
ESV_2	ESV_666	-0.6592
ESV_2	ESV_669	-0.636
ESV_2	ESV_680	-0.5412
ESV_2	ESV_681	-0.4774
ESV_2	ESV_683	-0.4919
ESV_2	ESV_684	0.5698
ESV_2	ESV_685	0.6359
ESV_2	ESV_688	-0.5209
ESV_2	ESV_692	0.4678
ESV_2	ESV_695	-0.5153
ESV_2	ESV_700	0.5511
ESV_2	ESV_704	-0.5775
ESV_2	ESV_706	-0.6192
ESV_2	ESV_707	0.4889
ESV_2	ESV_709	-0.5335
ESV_2	ESV_712	-0.5927
ESV_2	ESV_720	-0.4855
ESV_2	ESV_723	-0.4844
ESV_2	ESV_727	0.5362
ESV_2	ESV_729	-0.4675
ESV_2	ESV_736	0.4389
ESV_2	ESV_739	-0.4816
ESV_2	ESV_741	-0.754
ESV_2	ESV_742	-0.4849
ESV_2	ESV_750	-0.559
ESV_2	ESV_758	0.6412
ESV_2	ESV_764	-0.462
ESV_2	ESV_770	-0.5589
ESV_2	ESV_775	0.43
ESV_2	ESV_776	0.5666
ESV_2	ESV_784	-0.5816
ESV_2	ESV_792	-0.5773
ESV_2	ESV_809	0.5063
ESV_2	ESV_811	0.7084
ESV_2	ESV_818	-0.4343
ESV_2	ESV_819	0.581
ESV_2	ESV_820	-0.7095
ESV_2	ESV_825	-0.4604
ESV_2	ESV_828	0.5171
ESV_2	ESV_831	-0.4283
ESV_2	ESV_836	-0.5748
ESV_2	ESV_839	0.4691
ESV_2	ESV_841	-0.3945
ESV_2	ESV_842	0.5619
ESV_2	ESV_843	0.592
ESV_2	ESV_852	-0.6282
ESV_2	ESV_858	-0.553
ESV_2	ESV_872	-0.5817
ESV_2	ESV_876	0.7443
ESV_2	ESV_880	-0.4404
ESV_2	ESV_881	0.7405
ESV_2	ESV_884	0.5183
ESV_2	ESV_891	0.4771
ESV_2	ESV_906	-0.4666
ESV_2	ESV_908	-0.6566
ESV_2	ESV_918	-0.5359
ESV_2	ESV_919	0.6319
ESV_2	ESV_920	0.5219
ESV_2	ESV_924	-0.5586
ESV_2	ESV_927	-0.5033
ESV_2	ESV_929	-0.5657
ESV_2	ESV_932	0.5288
ESV_2	ESV_935	0.6546
ESV_2	ESV_940	-0.5468
ESV_2	ESV_946	-0.5799
ESV_2	ESV_950	-0.5369
ESV_2	ESV_951	0.5067
ESV_2	ESV_953	0.434
ESV_2	ESV_958	0.4298
ESV_2	ESV_959	0.615
ESV_2	ESV_973	-0.5348
ESV_2	ESV_976	-0.4737
ESV_2	ESV_978	-0.5207
ESV_2	ESV_981	-0.5546
ESV_2	ESV_983	0.4397
ESV_2	ESV_987	0.6681
ESV_2	ESV_988	-0.5437
ESV_2	ESV_994	0.4925
ESV_2	ESV_1001	0.458
ESV_2	ESV_1003	0.5051
ESV_2	ESV_1004	0.6229
ESV_2	ESV_1010	-0.5392
ESV_2	ESV_1016	0.5673
