Sp1	Sp2	Cor
ESV_1	ESV_2	0.468
ESV_1	ESV_4	0.6308
ESV_1	ESV_6	0.6719
ESV_1	ESV_8	0.6949
ESV_1	ESV_10	0.7956
ESV_1	ESV_13	0.7072
ESV_1	ESV_17	-0.5932
ESV_1	ESV_18	0.6959
ESV_1	ESV_20	0.7267
ESV_1	ESV_24	-0.5295
ESV_1	ESV_29	-0.6978
ESV_1	ESV_30	0.4488
ESV_1	ESV_31	0.5168
ESV_1	ESV_32	-0.4893
ESV_1	ESV_34	-0.4609
ESV_1	ESV_36	0.5187
ESV_1	ESV_37	-0.4439
ESV_1	ESV_39	-0.4563
ESV_1	ESV_40	0.4771
ESV_1	ESV_42	0.7087
ESV_1	ESV_43	-0.608
ESV_1	ESV_45	0.647
ESV_1	ESV_47	-0.4611
ESV_1	ESV_48	0.7136
ESV_1	ESV_50	-0.4506
ESV_1	ESV_58	-0.4035
ESV_1	ESV_60	0.5104
ESV_1	ESV_62	0.6321
ESV_1	ESV_65	0.6912
ESV_1	ESV_66	-0.4723
ESV_1	ESV_67	-0.7005
ESV_1	ESV_78	0.814
ESV_1	ESV_81	0.4428
ESV_1	ESV_85	0.8054
ESV_1	ESV_86	0.9187
ESV_1	ESV_95	0.6412
ESV_1	ESV_96	0.5158
ESV_1	ESV_98	-0.5342
ESV_1	ESV_100	0.4792
ESV_1	ESV_101	0.772
ESV_1	ESV_102	-0.497
ESV_1	ESV_104	0.5411
ESV_1	ESV_108	0.5992
ESV_1	ESV_112	0.533
ESV_1	ESV_113	0.6113
ESV_1	ESV_119	-0.544
ESV_1	ESV_124	0.599
ESV_1	ESV_128	0.6047
ESV_1	ESV_134	0.7283
ESV_1	ESV_136	0.8615
ESV_1	ESV_137	0.6402
ESV_1	ESV_141	0.5364
ESV_1	ESV_142	0.4923
ESV_1	ESV_143	-0.521
ESV_1	ESV_148	0.4956
ESV_1	ESV_157	0.4737
ESV_1	ESV_159	0.5824
ESV_1	ESV_167	0.6855
ESV_1	ESV_172	0.4884
ESV_1	ESV_179	-0.7258
ESV_1	ESV_181	0.5201
ESV_1	ESV_182	0.8474
ESV_1	ESV_183	0.526
ESV_1	ESV_185	0.7891
ESV_1	ESV_191	-0.6189
ESV_1	ESV_192	0.5008
ESV_1	ESV_195	0.4688
ESV_1	ESV_200	0.5181
ESV_1	ESV_203	0.5782
ESV_1	ESV_205	0.5256
ESV_1	ESV_206	-0.4525
ESV_1	ESV_208	0.5817
ESV_1	ESV_216	0.5675
ESV_1	ESV_218	0.7558
ESV_1	ESV_220	0.7721
ESV_1	ESV_223	0.4771
ESV_1	ESV_238	0.5239
ESV_1	ESV_243	0.6706
ESV_1	ESV_245	0.8734
ESV_1	ESV_253	0.5765
ESV_1	ESV_255	0.6018
ESV_1	ESV_257	0.7173
ESV_1	ESV_260	0.7004
ESV_1	ESV_262	0.4335
ESV_1	ESV_263	0.5327
ESV_1	ESV_266	0.4487
ESV_1	ESV_269	0.5268
ESV_1	ESV_271	0.5513
ESV_1	ESV_272	0.5056
ESV_1	ESV_274	0.6552
ESV_1	ESV_276	0.4312
ESV_1	ESV_281	-0.4419
ESV_1	ESV_282	0.4906
ESV_1	ESV_288	0.6361
ESV_1	ESV_290	0.4714
ESV_1	ESV_291	0.7638
ESV_1	ESV_297	-0.4742
ESV_1	ESV_301	-0.5116
ESV_1	ESV_303	0.6817
ESV_1	ESV_305	0.6784
ESV_1	ESV_309	0.5493
ESV_1	ESV_315	0.6526
ESV_1	ESV_316	0.8002
ESV_1	ESV_319	0.5019
ESV_1	ESV_325	0.6758
ESV_1	ESV_327	0.5329
ESV_1	ESV_332	-0.6047
ESV_1	ESV_334	0.4203
ESV_1	ESV_335	0.8487
ESV_1	ESV_338	-0.4942
ESV_1	ESV_341	-0.4203
ESV_1	ESV_344	0.5617
ESV_1	ESV_345	0.6368
ESV_1	ESV_347	0.5158
ESV_1	ESV_353	-0.6584
ESV_1	ESV_358	0.592
ESV_1	ESV_359	-0.6285
ESV_1	ESV_361	0.8185
ESV_1	ESV_363	0.4969
ESV_1	ESV_372	0.686
ESV_1	ESV_378	-0.6364
ESV_1	ESV_379	0.6612
ESV_1	ESV_381	0.6974
ESV_1	ESV_382	0.4083
ESV_1	ESV_390	0.6744
ESV_1	ESV_392	0.5393
ESV_1	ESV_395	-0.4881
ESV_1	ESV_399	0.4982
ESV_1	ESV_402	0.5252
ESV_1	ESV_404	0.7535
ESV_1	ESV_405	0.7027
ESV_1	ESV_408	0.8655
ESV_1	ESV_411	0.7059
ESV_1	ESV_412	-0.5257
ESV_1	ESV_415	-0.4457
ESV_1	ESV_421	0.6252
ESV_1	ESV_426	-0.5032
ESV_1	ESV_428	0.4965
ESV_1	ESV_432	0.7441
ESV_1	ESV_438	0.5696
ESV_1	ESV_445	0.4938
ESV_1	ESV_447	0.7759
ESV_1	ESV_448	-0.6097
ESV_1	ESV_450	0.4403
ESV_1	ESV_452	-0.4688
ESV_1	ESV_455	0.488
ESV_1	ESV_459	0.6491
ESV_1	ESV_463	0.7199
ESV_1	ESV_468	0.736
ESV_1	ESV_474	0.728
ESV_1	ESV_476	-0.4821
ESV_1	ESV_479	-0.7649
ESV_1	ESV_481	0.5125
ESV_1	ESV_482	-0.6169
ESV_1	ESV_490	-0.4524
ESV_1	ESV_494	0.5925
ESV_1	ESV_495	-0.5541
ESV_1	ESV_498	-0.7141
ESV_1	ESV_499	0.4137
ESV_1	ESV_505	0.6547
ESV_1	ESV_510	0.4201
ESV_1	ESV_513	0.4248
ESV_1	ESV_517	-0.503
ESV_1	ESV_519	0.8411
ESV_1	ESV_520	0.6921
ESV_1	ESV_524	0.4651
ESV_1	ESV_528	-0.4003
ESV_1	ESV_529	0.6161
ESV_1	ESV_532	0.4841
ESV_1	ESV_538	0.4417
ESV_1	ESV_542	0.6995
ESV_1	ESV_549	-0.4506
ESV_1	ESV_553	0.8082
ESV_1	ESV_554	0.5252
ESV_1	ESV_561	0.6427
ESV_1	ESV_564	0.567
ESV_1	ESV_565	-0.459
ESV_1	ESV_569	0.5864
ESV_1	ESV_570	0.5809
ESV_1	ESV_579	0.6147
ESV_1	ESV_582	0.4827
ESV_1	ESV_590	-0.4918
ESV_1	ESV_592	-0.4789
ESV_1	ESV_593	0.4487
ESV_1	ESV_604	-0.5926
ESV_1	ESV_608	0.6495
ESV_1	ESV_610	0.7152
ESV_1	ESV_615	0.4201
ESV_1	ESV_616	0.7314
ESV_1	ESV_619	0.7218
ESV_1	ESV_621	0.7425
ESV_1	ESV_626	-0.5121
ESV_1	ESV_631	0.6598
ESV_1	ESV_637	0.4376
ESV_1	ESV_643	-0.5768
ESV_1	ESV_646	0.4583
ESV_1	ESV_648	-0.643
ESV_1	ESV_660	0.4589
ESV_1	ESV_670	0.778
ESV_1	ESV_671	-0.5187
ESV_1	ESV_673	0.6333
ESV_1	ESV_674	0.5098
ESV_1	ESV_676	0.4402
ESV_1	ESV_694	0.5484
ESV_1	ESV_696	0.5303
ESV_1	ESV_704	-0.4536
ESV_1	ESV_706	-0.6806
ESV_1	ESV_708	0.4979
ESV_1	ESV_713	-0.4281
ESV_1	ESV_722	0.6368
ESV_1	ESV_726	-0.4109
ESV_1	ESV_727	0.6067
ESV_1	ESV_732	0.7983
ESV_1	ESV_734	-0.4981
ESV_1	ESV_737	0.3852
ESV_1	ESV_739	-0.5133
ESV_1	ESV_745	0.4216
ESV_1	ESV_747	0.5852
ESV_1	ESV_750	-0.5243
ESV_1	ESV_755	0.535
ESV_1	ESV_758	0.503
ESV_1	ESV_759	0.8254
ESV_1	ESV_763	-0.4112
ESV_1	ESV_779	0.7151
ESV_1	ESV_784	-0.4997
ESV_1	ESV_785	0.4936
ESV_1	ESV_791	0.5654
ESV_1	ESV_792	-0.5476
ESV_1	ESV_799	0.5844
ESV_1	ESV_800	-0.6478
ESV_1	ESV_801	0.763
ESV_1	ESV_805	-0.5206
ESV_1	ESV_808	0.5282
ESV_1	ESV_831	-0.6399
ESV_1	ESV_842	0.6285
ESV_1	ESV_844	-0.5193
ESV_1	ESV_848	0.718
ESV_1	ESV_849	-0.4357
ESV_1	ESV_851	-0.602
ESV_1	ESV_856	0.6332
ESV_1	ESV_865	-0.4889
ESV_1	ESV_870	-0.4673
ESV_1	ESV_873	-0.6399
ESV_1	ESV_875	0.4391
ESV_1	ESV_876	0.4083
ESV_1	ESV_880	-0.5101
ESV_1	ESV_881	0.5257
ESV_1	ESV_892	-0.6442
ESV_1	ESV_902	-0.6593
ESV_1	ESV_906	-0.6381
ESV_1	ESV_909	0.55
ESV_1	ESV_914	0.6731
ESV_1	ESV_926	0.5168
ESV_1	ESV_927	-0.5645
ESV_1	ESV_929	-0.4522
ESV_1	ESV_930	0.4768
ESV_1	ESV_931	0.4167
ESV_1	ESV_932	0.5003
ESV_1	ESV_940	-0.4534
ESV_1	ESV_945	0.5127
ESV_1	ESV_946	-0.5241
ESV_1	ESV_950	-0.7481
ESV_1	ESV_959	0.7866
ESV_1	ESV_971	0.4082
ESV_1	ESV_973	-0.4632
ESV_1	ESV_976	-0.522
ESV_1	ESV_994	0.4634
ESV_1	ESV_996	0.5584
ESV_1	ESV_999	-0.4184
ESV_1	ESV_1004	-0.4269
ESV_1	ESV_1005	0.5962
ESV_1	ESV_1011	0.4601
ESV_1	ESV_1015	0.7093
ESV_1	ESV_1016	0.5715
ESV_1	ESV_1021	0.6408
ESV_1	ESV_1027	0.4772
ESV_1	ESV_1031	-0.5149
ESV_1	ESV_1032	0.417
ESV_1	ESV_1038	-0.5412
ESV_1	ESV_1041	0.7294
ESV_1	ESV_1055	0.4636
ESV_1	ESV_1057	0.5462
ESV_1	ESV_1061	-0.5659
ESV_1	ESV_1062	0.544
ESV_1	ESV_1066	0.6281
ESV_1	ESV_1072	0.5792
ESV_1	ESV_1076	0.4949
ESV_1	ESV_1087	0.4876
ESV_1	ESV_1093	0.6264
ESV_1	ESV_1095	0.6476
ESV_1	ESV_1103	0.6509
ESV_1	ESV_1111	0.3963
ESV_1	ESV_1123	0.4352
ESV_1	ESV_1131	0.447
ESV_1	ESV_1134	-0.4613
ESV_1	ESV_1138	-0.5716
ESV_1	ESV_1154	-0.6031
ESV_1	ESV_1157	-0.4058
ESV_1	ESV_1169	-0.5327
ESV_1	ESV_1170	-0.5115
ESV_1	ESV_1175	-0.4374
ESV_1	ESV_1177	-0.48
ESV_1	ESV_1178	-0.4857
ESV_1	ESV_1188	0.4599
ESV_1	ESV_1190	0.4382
ESV_1	ESV_1197	0.7371
ESV_1	ESV_1209	0.677
ESV_1	ESV_1214	-0.4548
ESV_1	ESV_1221	-0.6604
ESV_1	ESV_1222	-0.5302
ESV_1	ESV_1224	0.7689
ESV_1	ESV_1225	-0.726
ESV_1	ESV_1228	-0.5951
ESV_1	ESV_1236	0.4473
ESV_1	ESV_1237	-0.551
ESV_1	ESV_1241	-0.5577
ESV_1	ESV_1251	0.5461
ESV_1	ESV_1258	0.7664
ESV_1	ESV_1259	0.6755
ESV_1	ESV_1261	-0.4726
ESV_1	ESV_1268	-0.4484
ESV_1	ESV_1277	0.5367
ESV_1	ESV_1281	-0.5895
ESV_1	ESV_1296	0.4035
ESV_1	ESV_1298	0.5267
ESV_1	ESV_1303	0.4003
ESV_1	ESV_1304	-0.5259
ESV_1	ESV_1309	-0.587
ESV_1	ESV_1311	0.6779
ESV_1	ESV_1314	-0.5259
ESV_1	ESV_1316	0.5523
ESV_1	ESV_1328	0.5656
ESV_1	ESV_1342	0.6739
ESV_1	ESV_1345	-0.4334
ESV_1	ESV_1349	0.4178
ESV_1	ESV_1358	0.7161
ESV_1	ESV_1362	-0.4962
ESV_1	ESV_1364	-0.5687
ESV_1	ESV_1378	0.4616
ESV_1	ESV_1380	-0.4158
ESV_1	ESV_1390	-0.3758
ESV_1	ESV_1391	0.48
ESV_1	ESV_1395	0.4715
ESV_1	ESV_1397	0.5018
ESV_1	ESV_1398	-0.6433
ESV_1	ESV_1410	0.5724
ESV_1	ESV_1415	-0.4477
ESV_1	ESV_1418	-0.5632
ESV_1	ESV_1424	0.6556
ESV_1	ESV_1437	-0.5611
ESV_1	ESV_1438	-0.5662
ESV_1	ESV_1440	0.4542
ESV_1	ESV_1443	0.5822
ESV_1	ESV_1445	-0.4577
ESV_1	ESV_1449	-0.6174
ESV_1	ESV_1458	-0.4637
ESV_1	ESV_1459	0.5907
ESV_1	ESV_1467	0.6907
ESV_1	ESV_1474	0.6288
ESV_1	ESV_1477	-0.5463
ESV_1	ESV_1494	-0.5454
ESV_1	ESV_1507	0.516
ESV_1	ESV_1528	0.462
ESV_1	ESV_1541	-0.531
ESV_1	ESV_1550	-0.4624
ESV_1	ESV_1558	-0.4967
ESV_1	ESV_1559	-0.5086
ESV_1	ESV_1598	0.5454
ESV_1	ESV_1601	-0.5002
