Sp1	Sp2	Cor
ESV_1	ESV_2	0.6603
ESV_1	ESV_4	0.595
ESV_1	ESV_8	0.6675
ESV_1	ESV_13	0.8729
ESV_1	ESV_14	-0.4268
ESV_1	ESV_17	-0.46
ESV_1	ESV_20	0.8441
ESV_1	ESV_24	-0.5631
ESV_1	ESV_31	0.5445
ESV_1	ESV_32	-0.4875
ESV_1	ESV_34	-0.5081
ESV_1	ESV_39	-0.5148
ESV_1	ESV_40	0.6985
ESV_1	ESV_45	0.8094
ESV_1	ESV_48	0.7743
ESV_1	ESV_50	-0.5811
ESV_1	ESV_58	0.6043
ESV_1	ESV_62	0.6867
ESV_1	ESV_65	0.7556
ESV_1	ESV_78	0.6304
ESV_1	ESV_80	0.5099
ESV_1	ESV_81	0.5423
ESV_1	ESV_84	-0.4911
ESV_1	ESV_85	0.7022
ESV_1	ESV_86	0.6846
ESV_1	ESV_88	-0.4575
ESV_1	ESV_90	0.6673
ESV_1	ESV_95	0.5947
ESV_1	ESV_99	-0.5442
ESV_1	ESV_100	0.5818
ESV_1	ESV_101	0.7246
ESV_1	ESV_102	-0.4549
ESV_1	ESV_103	-0.6262
ESV_1	ESV_104	0.6295
ESV_1	ESV_105	-0.5791
ESV_1	ESV_108	0.5854
ESV_1	ESV_112	0.8311
ESV_1	ESV_124	0.5623
ESV_1	ESV_129	0.5391
ESV_1	ESV_132	0.4238
ESV_1	ESV_134	0.5467
ESV_1	ESV_136	0.4651
ESV_1	ESV_137	0.5568
ESV_1	ESV_141	0.5258
ESV_1	ESV_149	-0.503
ESV_1	ESV_157	0.4397
ESV_1	ESV_159	0.6254
ESV_1	ESV_160	0.6746
ESV_1	ESV_167	0.4227
ESV_1	ESV_168	-0.4437
ESV_1	ESV_169	0.4224
ESV_1	ESV_181	0.5995
ESV_1	ESV_182	0.7643
ESV_1	ESV_183	0.4606
ESV_1	ESV_184	0.6447
ESV_1	ESV_185	0.5149
ESV_1	ESV_188	0.5034
ESV_1	ESV_189	-0.5583
ESV_1	ESV_191	-0.5064
ESV_1	ESV_192	0.4914
ESV_1	ESV_194	0.7107
ESV_1	ESV_195	0.6175
ESV_1	ESV_200	0.4575
ESV_1	ESV_201	0.6943
ESV_1	ESV_202	0.5014
ESV_1	ESV_203	0.6513
ESV_1	ESV_205	0.598
ESV_1	ESV_206	-0.6257
ESV_1	ESV_208	0.5157
ESV_1	ESV_209	-0.5906
ESV_1	ESV_216	0.5228
ESV_1	ESV_218	0.5994
ESV_1	ESV_232	0.5904
ESV_1	ESV_234	0.5284
ESV_1	ESV_237	0.8126
ESV_1	ESV_243	0.4904
ESV_1	ESV_245	0.5593
ESV_1	ESV_257	0.5565
ESV_1	ESV_258	-0.4408
ESV_1	ESV_260	0.5366
ESV_1	ESV_261	0.5561
ESV_1	ESV_265	-0.4479
ESV_1	ESV_267	0.4204
ESV_1	ESV_269	0.5755
ESV_1	ESV_271	0.5402
ESV_1	ESV_274	0.6857
ESV_1	ESV_276	0.4978
ESV_1	ESV_277	0.6037
ESV_1	ESV_282	0.7076
ESV_1	ESV_284	-0.4899
ESV_1	ESV_288	0.5478
ESV_1	ESV_293	0.451
ESV_1	ESV_294	-0.4658
ESV_1	ESV_296	0.4822
ESV_1	ESV_301	-0.4261
ESV_1	ESV_303	0.6084
ESV_1	ESV_305	0.5711
ESV_1	ESV_308	0.5094
ESV_1	ESV_315	0.5708
ESV_1	ESV_316	0.6013
ESV_1	ESV_318	0.7146
ESV_1	ESV_323	0.6965
ESV_1	ESV_325	0.6482
ESV_1	ESV_328	0.5766
ESV_1	ESV_333	0.5002
ESV_1	ESV_335	0.7461
ESV_1	ESV_344	0.7348
ESV_1	ESV_347	0.6396
ESV_1	ESV_352	-0.4508
ESV_1	ESV_361	0.659
ESV_1	ESV_363	0.4447
ESV_1	ESV_372	0.5366
ESV_1	ESV_379	0.6603
ESV_1	ESV_390	0.5858
ESV_1	ESV_409	0.5132
ESV_1	ESV_427	0.528
ESV_1	ESV_432	0.5898
ESV_1	ESV_446	-0.5337
ESV_1	ESV_447	0.4877
ESV_1	ESV_450	0.4957
ESV_1	ESV_451	0.7502
ESV_1	ESV_457	0.4668
ESV_1	ESV_459	0.5419
ESV_1	ESV_460	0.4654
ESV_1	ESV_466	0.4656
ESV_1	ESV_479	-0.5851
ESV_1	ESV_481	0.5381
ESV_1	ESV_498	-0.578
ESV_1	ESV_505	0.6877
ESV_1	ESV_513	0.6338
ESV_1	ESV_516	0.4706
ESV_1	ESV_520	0.475
ESV_1	ESV_521	0.5084
ESV_1	ESV_529	0.6825
ESV_1	ESV_532	0.5397
ESV_1	ESV_542	0.5582
ESV_1	ESV_548	-0.4357
ESV_1	ESV_549	-0.553
ESV_1	ESV_553	0.5087
ESV_1	ESV_554	0.5053
ESV_1	ESV_558	-0.4535
ESV_1	ESV_561	0.596
ESV_1	ESV_573	0.4486
ESV_1	ESV_582	0.5149
ESV_1	ESV_590	-0.4582
ESV_1	ESV_597	0.6356
ESV_1	ESV_607	0.4645
ESV_1	ESV_615	0.7001
ESV_1	ESV_616	0.6503
ESV_1	ESV_619	0.564
ESV_1	ESV_620	0.7689
ESV_1	ESV_621	0.5412
ESV_1	ESV_623	-0.4274
ESV_1	ESV_631	0.6047
ESV_1	ESV_637	0.6419
ESV_1	ESV_648	-0.6217
ESV_1	ESV_666	0.5103
ESV_1	ESV_667	0.4723
ESV_1	ESV_670	0.4497
ESV_1	ESV_674	0.4844
ESV_1	ESV_681	-0.484
ESV_1	ESV_695	0.702
ESV_1	ESV_697	0.4512
ESV_1	ESV_700	0.4809
ESV_1	ESV_709	0.7597
ESV_1	ESV_716	-0.4469
ESV_1	ESV_727	0.5115
ESV_1	ESV_734	-0.4417
ESV_1	ESV_740	0.5612
