Sp1	Sp2	Cor
ESV_1	ESV_62	0.479
ESV_1	ESV_78	0.5555
ESV_1	ESV_85	0.4832
ESV_1	ESV_112	0.5049
ESV_1	ESV_113	0.4374
ESV_1	ESV_168	0.5034
ESV_1	ESV_182	0.4378
ESV_1	ESV_205	0.5244
ESV_1	ESV_257	0.484
ESV_1	ESV_266	0.457
ESV_1	ESV_306	-0.4449
ESV_1	ESV_316	0.5088
ESV_1	ESV_335	0.4852
ESV_1	ESV_363	0.4976
ESV_1	ESV_426	0.6562
ESV_1	ESV_446	-0.4093
ESV_1	ESV_448	0.4299
ESV_1	ESV_450	0.4373
ESV_1	ESV_499	0.442
ESV_1	ESV_578	0.4382
ESV_1	ESV_619	0.4605
ESV_1	ESV_745	0.4041
ESV_1	ESV_761	0.4405
ESV_1	ESV_859	-0.4986
ESV_1	ESV_1077	-0.3953
ESV_1	ESV_1188	0.4894
ESV_1	ESV_1567	-0.4621
ESV_1	ESV_1867	-0.4111
ESV_1	ESV_1882	-0.4956
ESV_1	ESV_1914	0.4063
ESV_2	ESV_3	-0.6243
ESV_2	ESV_11	-0.4102
ESV_2	ESV_12	-0.6336
ESV_2	ESV_19	0.5309
ESV_2	ESV_20	0.497
ESV_2	ESV_33	-0.5559
ESV_2	ESV_34	-0.5905
ESV_2	ESV_36	0.5457
ESV_2	ESV_40	0.6894
ESV_2	ESV_46	0.4443
ESV_2	ESV_48	0.5041
ESV_2	ESV_51	0.4307
ESV_2	ESV_52	0.5304
ESV_2	ESV_54	0.5714
ESV_2	ESV_59	-0.4688
ESV_2	ESV_62	0.5474
ESV_2	ESV_74	-0.4434
ESV_2	ESV_76	0.6669
ESV_2	ESV_78	0.5272
ESV_2	ESV_85	0.4539
ESV_2	ESV_90	0.5776
ESV_2	ESV_101	0.5768
ESV_2	ESV_103	-0.5829
ESV_2	ESV_107	0.5883
ESV_2	ESV_108	0.4856
ESV_2	ESV_112	0.7328
ESV_2	ESV_113	0.4807
ESV_2	ESV_130	0.5541
ESV_2	ESV_132	0.5265
ESV_2	ESV_134	0.5045
ESV_2	ESV_136	0.4788
ESV_2	ESV_140	0.5691
ESV_2	ESV_141	0.4653
ESV_2	ESV_161	0.5006
ESV_2	ESV_162	-0.4473
ESV_2	ESV_168	0.7222
ESV_2	ESV_172	0.4752
ESV_2	ESV_173	0.4661
ESV_2	ESV_180	-0.488
ESV_2	ESV_182	0.53
ESV_2	ESV_198	0.4408
ESV_2	ESV_203	0.4418
ESV_2	ESV_205	0.5403
ESV_2	ESV_206	-0.6928
ESV_2	ESV_208	0.4853
ESV_2	ESV_220	0.4188
ESV_2	ESV_229	0.4807
ESV_2	ESV_251	0.4851
ESV_2	ESV_253	0.4763
ESV_2	ESV_257	0.4712
ESV_2	ESV_258	-0.5386
ESV_2	ESV_261	0.592
ESV_2	ESV_266	0.4712
ESV_2	ESV_276	0.5186
ESV_2	ESV_277	0.4216
ESV_2	ESV_293	0.4564
ESV_2	ESV_303	0.4459
ESV_2	ESV_308	0.4414
ESV_2	ESV_309	0.4522
