Sp1	Sp2	Cor
ESV_1	ESV_14	0.4332
ESV_1	ESV_99	0.6789
ESV_1	ESV_104	0.4906
ESV_1	ESV_203	-0.4732
ESV_1	ESV_249	-0.5039
ESV_1	ESV_261	-0.5099
ESV_1	ESV_349	-0.5
ESV_1	ESV_609	-0.4962
ESV_1	ESV_724	-0.5414
ESV_1	ESV_726	-0.6084
ESV_1	ESV_1422	0.4977
ESV_2	ESV_6	0.6809
ESV_2	ESV_11	-0.571
ESV_2	ESV_12	-0.5133
ESV_2	ESV_14	-0.6368
ESV_2	ESV_15	-0.5595
ESV_2	ESV_17	-0.6934
ESV_2	ESV_18	-0.5599
ESV_2	ESV_21	-0.5014
ESV_2	ESV_27	-0.6006
ESV_2	ESV_29	-0.643
ESV_2	ESV_32	-0.7082
ESV_2	ESV_34	-0.5701
ESV_2	ESV_39	-0.6341
ESV_2	ESV_43	-0.462
ESV_2	ESV_50	-0.6631
ESV_2	ESV_51	0.5876
ESV_2	ESV_62	0.7471
ESV_2	ESV_66	-0.5871
ESV_2	ESV_69	-0.595
ESV_2	ESV_71	-0.5984
ESV_2	ESV_76	0.5983
ESV_2	ESV_79	-0.6355
ESV_2	ESV_83	-0.6871
ESV_2	ESV_88	-0.7743
ESV_2	ESV_95	-0.6539
ESV_2	ESV_98	-0.5057
ESV_2	ESV_101	0.5431
ESV_2	ESV_102	-0.5367
ESV_2	ESV_103	-0.642
ESV_2	ESV_105	-0.7143
ESV_2	ESV_113	0.6279
ESV_2	ESV_116	-0.5115
ESV_2	ESV_120	0.8203
ESV_2	ESV_128	-0.5092
ESV_2	ESV_132	0.6973
ESV_2	ESV_133	-0.4766
ESV_2	ESV_138	-0.5471
ESV_2	ESV_144	-0.6468
ESV_2	ESV_154	-0.6594
ESV_2	ESV_156	-0.6429
ESV_2	ESV_161	0.5317
ESV_2	ESV_164	0.5333
ESV_2	ESV_169	0.7406
ESV_2	ESV_171	0.6706
ESV_2	ESV_173	0.6675
ESV_2	ESV_179	-0.7433
ESV_2	ESV_187	-0.6127
ESV_2	ESV_192	0.6474
ESV_2	ESV_195	0.4856
ESV_2	ESV_198	0.5477
ESV_2	ESV_203	0.5266
ESV_2	ESV_205	0.5808
ESV_2	ESV_206	-0.7138
ESV_2	ESV_208	0.7239
ESV_2	ESV_209	-0.4713
ESV_2	ESV_213	-0.7536
ESV_2	ESV_219	-0.4789
ESV_2	ESV_220	0.4848
ESV_2	ESV_229	0.4967
ESV_2	ESV_255	0.5331
ESV_2	ESV_257	0.5004
ESV_2	ESV_260	0.6691
ESV_2	ESV_261	0.5013
ESV_2	ESV_263	0.6087
ESV_2	ESV_265	-0.6498
ESV_2	ESV_269	0.7853
ESV_2	ESV_272	-0.4975
ESV_2	ESV_276	0.5858
ESV_2	ESV_279	-0.6466
ESV_2	ESV_282	-0.6775
ESV_2	ESV_283	-0.4699
ESV_2	ESV_293	0.6962
ESV_2	ESV_294	-0.5218
ESV_2	ESV_303	0.5937
ESV_2	ESV_308	0.6381
ESV_2	ESV_310	-0.5367
ESV_2	ESV_311	0.7735
ESV_2	ESV_315	0.6016
ESV_2	ESV_320	-0.6407
ESV_2	ESV_330	0.4818
ESV_2	ESV_333	0.5335
ESV_2	ESV_335	0.5908
ESV_2	ESV_340	0.6243
ESV_2	ESV_341	-0.6904
ESV_2	ESV_344	-0.671
ESV_2	ESV_347	0.6995
ESV_2	ESV_361	0.5626
ESV_2	ESV_365	0.5468
ESV_2	ESV_371	-0.6433
ESV_2	ESV_379	0.4782
ESV_2	ESV_384	0.6869
ESV_2	ESV_387	-0.4892
ESV_2	ESV_389	0.6176
ESV_2	ESV_390	-0.4744
ESV_2	ESV_399	0.6874
ESV_2	ESV_400	-0.6373
ESV_2	ESV_407	-0.5591
ESV_2	ESV_411	-0.6143
ESV_2	ESV_423	-0.591
ESV_2	ESV_434	0.6032
ESV_2	ESV_437	0.5522
ESV_2	ESV_438	0.696
ESV_2	ESV_446	-0.5267
ESV_2	ESV_447	0.6594
ESV_2	ESV_449	0.4929
ESV_2	ESV_455	0.6315
ESV_2	ESV_456	-0.493
ESV_2	ESV_457	0.7367
ESV_2	ESV_459	0.5948
ESV_2	ESV_461	0.5267
ESV_2	ESV_468	0.6099
ESV_2	ESV_475	0.7548
ESV_2	ESV_481	0.5056
ESV_2	ESV_485	-0.5332
ESV_2	ESV_491	-0.7631
ESV_2	ESV_492	-0.6165
ESV_2	ESV_498	-0.6836
ESV_2	ESV_499	0.6845
ESV_2	ESV_503	-0.5395
ESV_2	ESV_505	0.5021
ESV_2	ESV_507	-0.4631
ESV_2	ESV_509	0.7193
ESV_2	ESV_516	0.7159
ESV_2	ESV_529	0.6176
ESV_2	ESV_532	0.5354
ESV_2	ESV_539	0.5774
ESV_2	ESV_543	0.5773
ESV_2	ESV_554	0.5731
ESV_2	ESV_558	-0.5742
ESV_2	ESV_559	0.5251
ESV_2	ESV_566	0.5035
ESV_2	ESV_569	0.457
ESV_2	ESV_571	0.4682
ESV_2	ESV_573	0.592
ESV_2	ESV_578	0.5528
ESV_2	ESV_582	0.5961
ESV_2	ESV_586	0.5859
ESV_2	ESV_589	-0.5272
ESV_2	ESV_594	0.5019
ESV_2	ESV_598	0.4976
ESV_2	ESV_605	0.6002
ESV_2	ESV_617	0.623
ESV_2	ESV_621	0.5157
ESV_2	ESV_637	0.5094
ESV_2	ESV_651	-0.5744
ESV_2	ESV_654	-0.4737
ESV_2	ESV_661	0.7644
ESV_2	ESV_674	0.4787
ESV_2	ESV_681	-0.6674
ESV_2	ESV_685	0.6478
ESV_2	ESV_689	0.4881
ESV_2	ESV_692	0.5437
ESV_2	ESV_698	0.4718
ESV_2	ESV_700	0.599
ESV_2	ESV_707	0.4608
ESV_2	ESV_720	-0.4698
ESV_2	ESV_736	0.5682
ESV_2	ESV_738	0.4677
ESV_2	ESV_739	-0.5744
ESV_2	ESV_743	0.5437
ESV_2	ESV_750	-0.5828
ESV_2	ESV_775	0.6996
ESV_2	ESV_776	0.6182
ESV_2	ESV_784	-0.5973
ESV_2	ESV_796	-0.6311
ESV_2	ESV_822	0.5676
ESV_2	ESV_826	0.5492
ESV_2	ESV_829	-0.4607
ESV_2	ESV_836	-0.6295
ESV_2	ESV_842	0.5946
ESV_2	ESV_846	0.6581
ESV_2	ESV_850	-0.5266
ESV_2	ESV_852	-0.5128
ESV_2	ESV_853	-0.4991
ESV_2	ESV_869	-0.6931
ESV_2	ESV_872	-0.5303
ESV_2	ESV_876	0.5986
ESV_2	ESV_884	0.4994
ESV_2	ESV_890	-0.5195
ESV_2	ESV_891	0.5857
ESV_2	ESV_893	-0.6781
ESV_2	ESV_896	0.5558
ESV_2	ESV_899	-0.5304
ESV_2	ESV_913	-0.5599
ESV_2	ESV_920	0.7531
ESV_2	ESV_927	-0.538
ESV_2	ESV_928	0.5135
ESV_2	ESV_929	-0.5758
ESV_2	ESV_932	0.5423
ESV_2	ESV_935	0.5507
