Sp1	Sp2	Cor
ESV_1	ESV_6	0.5523
ESV_1	ESV_8	0.4714
ESV_1	ESV_13	0.5232
ESV_1	ESV_78	0.4959
ESV_1	ESV_96	0.5008
ESV_1	ESV_252	0.4626
ESV_1	ESV_835	0.4622
ESV_1	ESV_1769	0.4273
ESV_2	ESV_3	-0.5215
ESV_2	ESV_6	0.6521
ESV_2	ESV_12	-0.5151
ESV_2	ESV_16	0.5707
ESV_2	ESV_17	-0.4761
ESV_2	ESV_24	-0.5311
ESV_2	ESV_31	0.4514
ESV_2	ESV_32	-0.4561
ESV_2	ESV_33	-0.4098
ESV_2	ESV_40	0.4346
ESV_2	ESV_42	0.4789
ESV_2	ESV_43	-0.5074
ESV_2	ESV_62	0.4532
ESV_2	ESV_76	0.537
ESV_2	ESV_78	0.4691
ESV_2	ESV_97	0.6048
ESV_2	ESV_101	0.4677
ESV_2	ESV_108	0.6115
ESV_2	ESV_122	0.4742
ESV_2	ESV_130	0.4598
ESV_2	ESV_131	0.5581
ESV_2	ESV_133	-0.4234
ESV_2	ESV_134	0.4401
ESV_2	ESV_141	0.5819
ESV_2	ESV_191	-0.4473
ESV_2	ESV_203	0.5386
ESV_2	ESV_206	-0.4516
ESV_2	ESV_220	0.4853
ESV_2	ESV_249	0.421
ESV_2	ESV_257	0.4307
ESV_2	ESV_262	0.4697
ESV_2	ESV_288	0.4384
ESV_2	ESV_327	0.4957
ESV_2	ESV_411	-0.4124
ESV_2	ESV_1297	-0.4538
ESV_2	ESV_2179	-0.4139
ESV_2	ESV_3149	-0.3649
ESV_2	ESV_3187	-0.4227
ESV_2	ESV_4082	-0.4171
ESV_2	ESV_4196	-0.4454
ESV_2	ESV_4781	-0.4354
ESV_2	ESV_7279	-0.3488
ESV_3	ESV_6	-0.5375
ESV_3	ESV_12	0.9982
ESV_3	ESV_15	0.568
ESV_3	ESV_16	-0.5119
ESV_3	ESV_17	0.5914
ESV_3	ESV_32	0.4226
ESV_3	ESV_33	0.3994
ESV_3	ESV_34	0.5088
ESV_3	ESV_35	-0.5024
ESV_3	ESV_43	0.4773
ESV_3	ESV_45	-0.4604
ESV_3	ESV_58	0.3924
ESV_3	ESV_66	-0.5258
ESV_3	ESV_76	-0.5155
ESV_3	ESV_78	-0.4768
ESV_3	ESV_93	-0.4491
ESV_3	ESV_96	-0.4398
ESV_3	ESV_97	-0.5384
ESV_3	ESV_112	-0.4644
ESV_3	ESV_122	-0.6034
ESV_3	ESV_130	-0.4901
ESV_3	ESV_131	-0.5795
ESV_3	ESV_141	-0.6155
ESV_3	ESV_182	-0.5025
ESV_3	ESV_185	-0.4777
ESV_3	ESV_206	0.5454
ESV_3	ESV_209	-0.5004
ESV_3	ESV_220	-0.5457
ESV_3	ESV_225	-0.5274
ESV_3	ESV_249	-0.5551
ESV_3	ESV_253	-0.4688
ESV_3	ESV_262	-0.6603
ESV_3	ESV_272	0.4136
ESV_3	ESV_284	-0.4808
ESV_3	ESV_411	0.4194
ESV_3	ESV_444	-0.6201
ESV_3	ESV_541	-0.456
ESV_3	ESV_544	-0.5355
ESV_3	ESV_641	0.4351
ESV_3	ESV_668	-0.4322
ESV_3	ESV_688	-0.516
ESV_3	ESV_810	0.4213
ESV_3	ESV_835	-0.556
ESV_3	ESV_837	0.3931
ESV_3	ESV_875	0.4542
ESV_3	ESV_977	0.3986
ESV_3	ESV_1014	-0.5592
ESV_3	ESV_1151	0.3802
ESV_3	ESV_1297	0.6595
ESV_3	ESV_1298	0.4376
ESV_3	ESV_1305	0.4493
ESV_3	ESV_1467	0.4156
ESV_3	ESV_1860	0.4223
ESV_3	ESV_2179	0.4616
ESV_3	ESV_2456	0.6229
ESV_3	ESV_2516	0.6879
ESV_3	ESV_3149	0.6977
ESV_3	ESV_3187	0.7721
ESV_3	ESV_3273	0.4614
ESV_3	ESV_3832	0.4119
ESV_3	ESV_4082	0.6597
ESV_3	ESV_4196	0.5381
ESV_3	ESV_4354	0.6374
ESV_3	ESV_4781	0.6908
ESV_3	ESV_7279	0.729
ESV_4	ESV_5	0.6784
ESV_4	ESV_8	0.6466
ESV_4	ESV_9	0.518
ESV_4	ESV_16	0.6348
ESV_4	ESV_18	0.4856
ESV_4	ESV_31	0.5708
ESV_4	ESV_122	0.4305
ESV_4	ESV_590	0.4379
ESV_5	ESV_8	0.4975
ESV_5	ESV_16	0.5235
ESV_5	ESV_18	0.4972
ESV_5	ESV_21	0.5924
ESV_5	ESV_25	0.4581
ESV_5	ESV_32	0.4445
ESV_5	ESV_96	0.4556
ESV_5	ESV_101	-0.4361
ESV_5	ESV_122	0.4681
ESV_5	ESV_147	-0.4244
ESV_5	ESV_176	0.5742
ESV_5	ESV_209	0.5547
ESV_5	ESV_296	-0.4221
ESV_5	ESV_308	-0.3994
ESV_5	ESV_481	-0.4859
ESV_5	ESV_580	0.4106
ESV_5	ESV_590	0.4447
ESV_5	ESV_1117	-0.4057
ESV_5	ESV_1248	0.4146
ESV_5	ESV_1483	-0.4332
ESV_6	ESV_10	0.5869
ESV_6	ESV_12	-0.5267
ESV_6	ESV_16	0.6158
ESV_6	ESV_17	-0.5895
ESV_6	ESV_31	0.4768
ESV_6	ESV_42	0.6943
ESV_6	ESV_43	-0.5764
ESV_6	ESV_50	-0.4649
ESV_6	ESV_62	0.4549
ESV_6	ESV_66	0.6049
ESV_6	ESV_76	0.5457
ESV_6	ESV_78	0.6247
ESV_6	ESV_84	-0.4298
ESV_6	ESV_93	0.5571
ESV_6	ESV_96	0.5982
ESV_6	ESV_97	0.768
ESV_6	ESV_108	0.5307
ESV_6	ESV_122	0.7237
ESV_6	ESV_129	-0.4005
ESV_6	ESV_130	0.4269
ESV_6	ESV_134	0.4417
ESV_6	ESV_136	0.4709
ESV_6	ESV_141	0.5459
ESV_6	ESV_185	0.5056
ESV_6	ESV_203	0.4273
ESV_6	ESV_206	-0.4877
ESV_6	ESV_209	0.5855
ESV_6	ESV_220	0.5572
ESV_6	ESV_225	0.4923
ESV_6	ESV_249	0.5893
ESV_6	ESV_252	0.45
ESV_6	ESV_262	0.6232
ESV_6	ESV_275	-0.4147
ESV_6	ESV_331	-0.4377
ESV_6	ESV_385	-0.4618
ESV_6	ESV_387	-0.4508
ESV_6	ESV_397	-0.4295
ESV_6	ESV_497	-0.482
ESV_6	ESV_688	0.5032
ESV_6	ESV_835	0.6352
ESV_6	ESV_837	-0.3997
ESV_6	ESV_977	-0.4232
ESV_6	ESV_1297	-0.4675
ESV_6	ESV_1749	-0.3928
ESV_6	ESV_1826	0.4652
ESV_6	ESV_3149	-0.3766
ESV_6	ESV_3187	-0.4072
ESV_6	ESV_4082	-0.3352
ESV_6	ESV_4781	-0.4541
ESV_6	ESV_7279	-0.4419
ESV_7	ESV_45	0.4341
ESV_7	ESV_72	0.4463
ESV_7	ESV_99	0.4539
ESV_7	ESV_103	0.4991
ESV_7	ESV_733	0.398
ESV_8	ESV_9	0.5185
ESV_8	ESV_10	0.4641
ESV_8	ESV_13	0.5436
ESV_8	ESV_16	0.5812
ESV_8	ESV_21	0.5
ESV_8	ESV_31	0.6721
ESV_8	ESV_96	0.6164
ESV_8	ESV_97	0.4388
ESV_8	ESV_122	0.5732
ESV_8	ESV_130	0.4351
ESV_8	ESV_176	0.4577
ESV_8	ESV_209	0.433
ESV_8	ESV_225	0.5277
ESV_8	ESV_590	0.5248
ESV_8	ESV_810	-0.3822
ESV_8	ESV_1297	-0.3739
ESV_9	ESV_31	0.4708
ESV_9	ESV_76	0.4695
ESV_9	ESV_122	0.4295
ESV_9	ESV_496	-0.4084
ESV_10	ESV_16	0.4515
ESV_10	ESV_17	-0.5236
ESV_10	ESV_66	0.4445
ESV_10	ESV_78	0.549
ESV_10	ESV_85	0.4501
ESV_10	ESV_93	0.8271
ESV_10	ESV_96	0.6599
ESV_10	ESV_97	0.8311
ESV_10	ESV_122	0.6996
ESV_10	ESV_136	0.4917
ESV_10	ESV_174	-0.4296
ESV_10	ESV_176	0.5823
ESV_10	ESV_209	0.6527
ESV_10	ESV_225	0.4544
ESV_10	ESV_367	-0.434
ESV_10	ESV_368	-0.4033
ESV_10	ESV_392	-0.4273
ESV_10	ESV_428	-0.4648
ESV_10	ESV_497	-0.3936
ESV_10	ESV_656	-0.4346
ESV_10	ESV_1826	0.5291
ESV_10	ESV_1874	0.5446
ESV_11	ESV_18	0.5412
ESV_11	ESV_21	0.4904
ESV_11	ESV_27	0.5811
ESV_11	ESV_42	-0.4938
ESV_11	ESV_50	0.4776
ESV_11	ESV_101	-0.439
ESV_11	ESV_102	0.4324
ESV_11	ESV_191	0.4143
ESV_11	ESV_206	0.489
ESV_11	ESV_257	-0.4209
ESV_11	ESV_438	-0.4557
ESV_11	ESV_455	-0.3978
ESV_11	ESV_1266	-0.414
ESV_12	ESV_15	0.5834
ESV_12	ESV_16	-0.5012
ESV_12	ESV_17	0.5908
ESV_12	ESV_34	0.5224
ESV_12	ESV_35	-0.5089
ESV_12	ESV_43	0.4813
ESV_12	ESV_45	-0.443
ESV_12	ESV_66	-0.513
ESV_12	ESV_76	-0.5108
ESV_12	ESV_78	-0.4787
ESV_12	ESV_93	-0.4471
ESV_12	ESV_97	-0.5414
ESV_12	ESV_112	-0.4655
ESV_12	ESV_122	-0.6
ESV_12	ESV_130	-0.4863
ESV_12	ESV_131	-0.5712
ESV_12	ESV_141	-0.6054
ESV_12	ESV_182	-0.5108
ESV_12	ESV_185	-0.485
ESV_12	ESV_206	0.5439
ESV_12	ESV_209	-0.5006
ESV_12	ESV_220	-0.5336
ESV_12	ESV_225	-0.5171
ESV_12	ESV_249	-0.5522
ESV_12	ESV_262	-0.6484
ESV_12	ESV_272	0.423
ESV_12	ESV_284	-0.4754
ESV_12	ESV_365	-0.4094
ESV_12	ESV_411	0.4167
ESV_12	ESV_444	-0.6202
ESV_12	ESV_541	-0.4603
ESV_12	ESV_544	-0.5303
ESV_12	ESV_641	0.4433
ESV_12	ESV_668	-0.4293
ESV_12	ESV_688	-0.5153
ESV_12	ESV_810	0.4142
ESV_12	ESV_835	-0.5451
ESV_12	ESV_837	0.3814
ESV_12	ESV_875	0.4582
ESV_12	ESV_977	0.3867
ESV_12	ESV_1014	-0.5689
ESV_12	ESV_1297	0.6579
ESV_12	ESV_1298	0.4301
ESV_12	ESV_1305	0.4533
ESV_12	ESV_1467	0.3925
ESV_12	ESV_1723	0.4006
ESV_12	ESV_2179	0.4523
ESV_12	ESV_2456	0.6343
ESV_12	ESV_2516	0.6854
ESV_12	ESV_3149	0.6851
ESV_12	ESV_3187	0.7715
ESV_12	ESV_3273	0.4678
ESV_12	ESV_3832	0.4086
ESV_12	ESV_4082	0.6472
ESV_12	ESV_4196	0.5242
ESV_12	ESV_4354	0.637
ESV_12	ESV_4781	0.697
ESV_12	ESV_7279	0.727
ESV_13	ESV_20	0.6361
ESV_13	ESV_31	0.5169
ESV_13	ESV_85	0.4964
ESV_13	ESV_225	0.5155
ESV_14	ESV_15	0.5662
ESV_14	ESV_30	0.3907
ESV_14	ESV_34	0.4752
ESV_14	ESV_43	0.4959
ESV_14	ESV_61	0.5884
ESV_14	ESV_153	0.4532
ESV_14	ESV_247	0.4621
ESV_14	ESV_264	0.4435
ESV_14	ESV_272	0.4381
ESV_14	ESV_564	-0.4034
ESV_14	ESV_2456	0.4612
ESV_14	ESV_4781	0.3507
ESV_15	ESV_17	0.6465
ESV_15	ESV_30	0.4178
ESV_15	ESV_34	0.5138
ESV_15	ESV_43	0.5494
ESV_15	ESV_444	-0.4121
ESV_15	ESV_564	-0.4116
ESV_15	ESV_1014	-0.4404
ESV_15	ESV_1297	0.4298
ESV_15	ESV_2456	0.6366
ESV_15	ESV_2516	0.4253
ESV_15	ESV_3149	0.4554
ESV_15	ESV_4082	0.416
ESV_15	ESV_4781	0.5058
ESV_15	ESV_7279	0.4277
ESV_16	ESV_21	0.5117
ESV_16	ESV_31	0.4711
ESV_16	ESV_45	0.5573
ESV_16	ESV_66	0.6079
ESV_16	ESV_76	0.6626
ESV_16	ESV_78	0.4861
ESV_16	ESV_80	0.4896
ESV_16	ESV_96	0.5954
ESV_16	ESV_97	0.6622
ESV_16	ESV_122	0.7145
ESV_16	ESV_130	0.4806
ESV_16	ESV_131	0.6161
ESV_16	ESV_136	0.4618
ESV_16	ESV_141	0.4075
ESV_16	ESV_203	0.4632
ESV_16	ESV_209	0.6141
ESV_16	ESV_225	0.5882
ESV_16	ESV_249	0.4384
ESV_16	ESV_284	0.5109
ESV_16	ESV_590	0.5449
ESV_16	ESV_810	-0.3832
ESV_16	ESV_837	-0.4049
ESV_16	ESV_1297	-0.5024
ESV_16	ESV_1860	-0.3825
ESV_16	ESV_3149	-0.3563
ESV_16	ESV_3187	-0.4965
ESV_16	ESV_4082	-0.3906
ESV_16	ESV_4196	-0.3926
ESV_16	ESV_4781	-0.3892
ESV_16	ESV_7279	-0.3882
ESV_17	ESV_27	0.4411
ESV_17	ESV_32	0.5164
ESV_17	ESV_33	0.5386
ESV_17	ESV_34	0.494
ESV_17	ESV_42	-0.5247
ESV_17	ESV_43	0.5629
ESV_17	ESV_50	0.4203
ESV_17	ESV_88	0.3929
ESV_17	ESV_97	-0.5783
ESV_17	ESV_101	-0.4402
ESV_17	ESV_103	0.4195
ESV_17	ESV_122	-0.4844
ESV_17	ESV_130	-0.4122
ESV_17	ESV_134	-0.4483
ESV_17	ESV_141	-0.4955
ESV_17	ESV_185	-0.4322
ESV_17	ESV_206	0.4392
ESV_17	ESV_220	-0.4538
